# 中文意思	英文完整句子	填空词，最多3个
狮子是非洲草原上的顶级掠食者，以其强大的力量和复杂的社会结构而闻名。	The lion is the apex predator of the African savannah, renowned for its formidable strength and complex social structure within the pride.	apex, formidable, pride
蜜蜂在授粉过程中发挥着关键作用，对全球粮食生产和生态系统健康至关重要。	Bees play a crucial role in pollination, making them essential to global food production and the overall health of ecosystems.	pollination, essential, overall
许多鸟类每年都会在其繁殖地和越冬地之间进行令人惊叹的长途迁徙。	Many bird species undertake astonishing long-distance migrations each year between their breeding grounds and wintering habitats.	undertake, migrations, breeding
大熊猫被认为是保护工作的旗舰物种，象征着拯救濒危野生动物的努力。	The giant panda is regarded as a flagship species for conservation efforts, symbolising the struggle to save endangered wildlife.	flagship, conservation, symbolising
在珊瑚礁生态系统中，小丑鱼和海葵之间的共生关系是自然界互利共存的经典范例。	The symbiotic relationship between clownfish and sea anemones in coral reef ecosystems is a classic example of mutualism in nature.	symbiotic, anemones, mutualism
猎豹是陆地上速度最快的动物，能够在三秒内加速到每小时一百公里以上。	The cheetah is the fastest land animal, capable of accelerating to over one hundred kilometres per hour within three seconds.	accelerating, capable, within
由于栖息地丧失和非法偷猎，许多物种正面临灭绝的威胁，数量急剧下降。	Many species are facing the threat of extinction due to habitat loss and illegal poaching, with populations declining at an alarming rate.	extinction, poaching, alarming
章鱼拥有非凡的伪装能力和解决问题的智力，被认为是海洋中最聪明的无脊椎动物。	The octopus possesses remarkable camouflage abilities and problem-solving intelligence, making it the most intelligent invertebrate in the ocean.	remarkable, camouflage, invertebrate
象群由一头年长雌象领导，在干旱季节它凭借记忆带领象群寻找水源。	The elephant herd is led by an elderly female, who relies on her memory to guide the group to water sources during the dry season.	herd, elderly, guide
动物的冬眠是一种通过显著降低代谢率来节省能量、度过食物匮乏时期的适应性策略。	Hibernation in animals is an adaptive strategy for conserving energy by dramatically reducing the metabolic rate during periods of food scarcity.	Hibernation, adaptive, metabolic
鲸鱼通过复杂的歌声进行交流，这些歌声可以在水下传播数百公里。	Whales communicate through complex songs that can travel across hundreds of kilometres underwater.	communicate, complex, travel
蝴蝶的翅膀上覆盖着微小的鳞片，这些鳞片通过折射光线而产生鲜艳的虹彩颜色。	Butterfly wings are covered in tiny scales that produce vivid iridescent colours by refracting light at different angles.	scales, vivid, refracting
珊瑚对水温变化极其敏感，当水温过高时会发生白化现象，导致其死亡。	Corals are extremely sensitive to changes in water temperature, undergoing bleaching when the water becomes too warm, which can ultimately lead to their death.	sensitive, bleaching, ultimately
狼群依靠紧密的团队合作捕猎大型猎物，通过嚎叫来协调行动和标记领地。	Wolves rely on close teamwork to hunt large prey, using howls to coordinate their movements and mark their territory.	teamwork, coordinate, territory
考拉几乎完全以桉树叶为食，这种叶子对大多数其他动物来说是有毒的。	Koalas feed almost exclusively on eucalyptus leaves, which are toxic to most other animals.	exclusively, eucalyptus, toxic
蝙蝠是唯一能够真正飞行的哺乳动物，它们使用回声定位在黑暗中导航和捕食。	Bats are the only mammals capable of true flight, using echolocation to navigate and hunt prey in complete darkness.	mammals, echolocation, navigate
在非洲，角马的大规模迁徙是自然界最壮观的景象之一，数百万只角马跟随雨水寻找新鲜的草场。	The great migration of wildebeest in Africa is one of nature's most spectacular events, with millions following the rains in search of fresh grazing.	migration, spectacular, following
海龟会回到它们出生的同一片海滩产卵，这种导航能力至今令科学家着迷。	Sea turtles return to the exact same beach where they were born to lay their eggs, a navigational feat that continues to fascinate scientists.	fascinate, navigational, feat
孔雀开屏是一种经典的性选择例子，雄性通过展示华丽的羽毛来吸引雌性。	The peacock's elaborate display is a classic example of sexual selection, with males showing off ornate plumage to attract females.	elaborate, sexual, plumage
蜘蛛的丝比相同粗细的钢铁还要坚韧，科学家正研究其分子结构以开发新材料。	Spider silk is tougher than steel of the same thickness, and scientists are studying its molecular structure to develop new materials.	tougher, molecular, materials
帝企鹅在南极严酷的冬季繁殖，雄性负责在严寒中孵化蛋长达两个月。	Emperor penguins breed during the harsh Antarctic winter, with males incubating the eggs for up to two months in freezing conditions.	harsh, incubating, conditions
湿地的消失威胁着两栖动物的生存，因为它们的皮肤具有渗透性，对环境退化特别敏感。	The loss of wetlands threatens the survival of amphibians, as their permeable skin makes them particularly vulnerable to environmental degradation.	amphibians, permeable, vulnerable
狐獴群体设有哨兵制度，站在高处的哨兵会在发现捕食者时发出警戒叫声。	Meerkat colonies employ a sentry system, with lookouts standing upright on high ground emitting alarm calls when a predator is spotted.	colonies, sentry, emitting
座头鲸以其壮观的跃出水面行为而闻名，它们巨大的身体几乎完全离开水面。	Humpback whales are famous for their spectacular breaching behaviour, launching their enormous bodies almost entirely out of the water.	breaching, launching, entirely
寄生虫与其宿主之间的关系是共同进化过程中的经典案例，两者在持续的适应中彼此影响。	The relationship between parasites and their hosts is a classic case of coevolution, with each influencing the other in a constant adaptive struggle.	parasites, coevolution, adaptive
蚂蚁群落展示了非凡的社会组织，分工明确，通过化学信息进行高度协调的合作。	Ant colonies demonstrate extraordinary social organisation, with a clear division of labour and highly coordinated cooperation through chemical signals.	extraordinary, division, chemical
信天翁拥有鸟类中最长的翼展，可以在不扇动翅膀的情况下滑翔数小时。	The albatross has the longest wingspan of any bird and can glide for hours without ever flapping its wings.	wingspan, glide, flapping
猫科动物具有出色的夜视能力，这使它们成为黎明和黄昏时段的出色猎手。	Felines possess exceptional night vision, which makes them outstanding hunters during the twilight hours of dawn and dusk.	exceptional, twilight, dawn
动物的伪装策略包括改变颜色、模仿其他生物或与背景融为一体。	Camouflage strategies in animals include changing colour, mimicking other organisms, or blending seamlessly into the background environment.	Camouflage, mimicking, blending
水母的身体由超过百分之九十五的水组成，通过有节奏的收缩推动自己在水中移动。	Jellyfish are composed of over ninety-five per cent water and propel themselves through the ocean by rhythmic contractions of their bell.	composed, propel, contractions
