# 中文意思	英文完整句子	填空词，最多3个
人口的快速增长给全球资源和基础设施带来了前所未有的压力。	The rapid growth of the human population has placed unprecedented pressure on global resources and infrastructure.	unprecedented, pressure, infrastructure
城市化是世界范围内的一个重要趋势，越来越多的人从农村地区迁移到城市寻求更好的机会。	Urbanisation is a major global trend, with an increasing number of people migrating from rural areas to cities in search of better opportunities.	Urbanisation, migrating, opportunities
文化多样性是人类的宝贵财富，但不同群体之间的偏见和歧视仍然普遍存在。	Cultural diversity is a valuable asset of humanity, yet prejudice and discrimination between different groups remain widespread.	diversity, prejudice, discrimination
医疗进步极大地提高了人类的预期寿命，但也带来了人口老龄化等新的社会挑战。	Advances in healthcare have dramatically increased human life expectancy, but they have also brought new social challenges such as an ageing population.	life, expectancy, ageing
教育被视为消除贫困循环和促进社会阶层向上流动的最有效途径。	Education is regarded as the most effective means of breaking the cycle of poverty and promoting upward social mobility.	breaking, cycle, mobility
贫富差距的扩大加剧了社会紧张，并有可能破坏社会的长期稳定和凝聚力。	The widening gap between rich and poor has exacerbated social tensions and threatens to undermine long-term societal stability and cohesion.	exacerbated, undermine, cohesion
移民对输出国和接收国的经济都有显著的贡献，但也带来了文化融合方面的挑战。	Immigration makes significant contributions to the economies of both sending and receiving countries, but it also brings challenges related to cultural integration.	contributions, sending, integration
数字化转型从根本上改变了人们的沟通方式、工作模式和日常生活习惯。	The digital transformation has fundamentally altered how people communicate, work, and carry out their daily routines.	fundamentally, altered, routines
战争和冲突往往起源于对稀缺资源的争夺、民族主义情绪的高涨以及对历史恩怨的执念。	Wars and conflicts often originate from the competition for scarce resources, the rise of nationalist sentiment, and the persistence of historical grievances.	originate, scarce, grievances
志愿活动和社区服务在加强社会凝聚力和倡导公民参与方面发挥着不可或缺的作用。	Volunteering and community service play an indispensable role in strengthening social cohesion and promoting civic engagement.	indispensable, cohesion, civic
全球化为各国带来了经济增长的机遇，但也导致了某些地区传统产业和本土文化的衰落。	Globalisation has brought economic growth opportunities to many nations but has also led to the decline of traditional industries and indigenous cultures in certain regions.	opportunities, decline, indigenous
社会规范在不同的文化之间差异巨大，影响着人们的日常行为、道德判断和人际交往方式。	Social norms vary enormously across cultures, influencing people's everyday behaviour, moral judgement, and modes of interpersonal interaction.	norms, enormously, judgement
科技创新在推动社会进步的同时，也引发了关于隐私、伦理和不平等的广泛讨论。	While technological innovation drives social progress, it also raises extensive debate about privacy, ethics, and inequality.	innovation, extensive, inequality
家庭结构的多样化反映了当代社会的深刻变迁，独居、丁克及单亲家庭日益普遍。	The diversification of family structures reflects profound changes in contemporary society, with single-person, childless, and single-parent households becoming increasingly common.	diversification, profound, contemporary
性别平等不仅是基本人权问题，也是实现可持续发展和经济增长的关键驱动力。	Gender equality is not only a fundamental human rights issue but also a crucial driver of sustainable development and economic prosperity.	fundamental, driver, prosperity
代际冲突通常源于年轻一代和年长一代在价值观、生活态度和技术使用上的显著差异。	Generational conflicts often stem from significant differences in values, attitudes towards life, and the use of technology between younger and older generations.	Generational, stem, attitudes
互联网为信息获取提供了前所未有便利，但信息茧房和虚假信息的传播已成为日益严重的社会问题。	The internet has provided unprecedented access to information, but echo chambers and the spread of disinformation have become increasingly serious social problems.	unprecedented, echo, disinformation
青少年心理健康问题近年来在世界范围内呈上升趋势，学业压力、社交媒体和家庭关系不睦是常见的诱因。	Adolescent mental health issues have been on the rise worldwide in recent years, with academic pressure, social media, and family discord being common contributing factors.	Adolescent, on the rise, discord
社会流动性是衡量一个社会公平程度的重要指标，反映个人能否通过自身努力改变社会经济地位。	Social mobility is an important indicator of a society's fairness, reflecting whether individuals can change their socioeconomic status through their own efforts.	mobility, indicator, reflecting
共同体的概念强调个体之间的相互依存，以及为了集体利益而采取协调行动的必要性。	The concept of community emphasises the interdependence of individuals and the necessity of coordinated action for the collective good.	concept, interdependence, collective
人权是每个人天生享有的基本权利和自由，不论其种族、性别、国籍、宗教或其他身份如何。	Human rights are the basic rights and freedoms to which every person is inherently entitled, regardless of race, gender, nationality, religion, or any other status.	inherently, entitled, regardless
在信息时代，辨别真实新闻和虚假信息的能力已成为一种必需的公民素养。	In the information era, the ability to distinguish between real news and misinformation has become an essential skill of civic literacy.	distinguish, misinformation, literacy
慈善事业在弥补政府社会保障不足和帮助弱势群体方面发挥着重要的补充作用。	Philanthropy plays an important supplementary role in addressing the inadequacies of government welfare and assisting vulnerable groups.	Philanthropy, supplementary, vulnerable
交通拥堵和空气污染是大城市中心面临的重大问题，需要创新的城市规划政策来解决。	Traffic congestion and air pollution are major problems facing large urban centres, requiring innovative urban planning policies to address.	congestion, innovative, urban
人口老龄化给养老金体系、医疗保健和劳动力市场带来了一系列复杂的经济与社会挑战。	An ageing population poses a range of complex economic and social challenges for pension systems, healthcare provision, and the labour market.	poses, pension, labour
