# 中文意思	英文完整句子	填空词，最多3个
力量训练不仅能增强肌肉，还能提高骨密度，降低骨质疏松的风险。	Strength training not only builds muscle but also improves bone density, reducing the risk of osteoporosis.	density, reducing, osteoporosis
复合动作如深蹲、硬拉和卧推应构成任何有效力量训练计划的基础。	Compound exercises such as squats, deadlifts, and bench presses should form the foundation of any effective strength training programme.	Compound, foundation, effective
渐进超负荷是力量增长的核心原则，要求逐步增加重量、次数或组数。	Progressive overload is the core principle of strength development, requiring gradual increases in weight, repetitions, or sets.	Progressive, principle, gradual
适当的热身对于准备肌肉和关节至关重要，能显著降低训练中的受伤风险。	A proper warm-up is essential for preparing muscles and joints, significantly reducing the risk of injury during training sessions.	essential, significantly, injury
许多女性因为担心变得过于健壮而回避力量训练，但这在很大程度上是没有科学依据的一个误解。	Many women avoid strength training due to concerns about becoming too bulky, but this is a largely unfounded misconception.	avoid, bulky, unfounded
肌肉在休息期间生长，而不是在训练期间，因此充足的恢复对进步至关重要。	Muscles grow during periods of rest rather than during training, making adequate recovery crucial for making consistent progress.	periods, adequate, crucial
蛋白质摄入对肌肉修复和生长至关重要，建议在训练后一两小时内摄入。	Protein intake is vital for muscle repair and growth, and it is recommended to consume it within a couple of hours after training.	intake, vital, consume
不良的动作姿势是力量训练者受伤的最常见原因，这凸显了向合格教练学习的重要性。	Poor exercise form is the most common cause of injury among strength trainees, highlighting the importance of learning from qualified coaches.	form, highlighting, qualified
研究一致表明，定期进行力量训练可以改善胰岛素敏感性并促进代谢健康。	Research has consistently shown that regular strength training can improve insulin sensitivity and boost metabolic health.	consistently, insulin, metabolic
随着年龄增长，肌肉量自然下降，到 50 岁后如不介入，这一过程会显著加速。	Muscle mass naturally declines with age, and this process accelerates significantly after the age of fifty without intervention.	declines, accelerates, intervention
高强度间歇训练可以用较轻的负重进行，是对传统力量训练的一种高效补充。	High-intensity interval training can be performed with lighter weights and serves as a time-efficient complement to traditional strength work.	interval, complement, traditional
力量训练已被证明可以通过增加脑部血流量和促进神经营养因子释放来改善认知功能。	Strength training has been shown to improve cognitive function by increasing blood flow to the brain and promoting the release of neurotrophic factors.	cognitive, promoting, factors
握力越来越被认为是整体健康状况的可靠预测指标，而不仅仅是上肢力量的衡量。	Grip strength is increasingly recognised as a reliable predictor of overall health status rather than merely a measure of upper body power.	recognised, reliable, merely
力量训练运动员对营养的需求与耐力运动员显著不同，尤其是在蛋白质和总热量摄入方面。	The nutritional requirements of strength training athletes differ markedly from those of endurance athletes, particularly in terms of protein and caloric intake.	markedly, endurance, caloric
活动度训练和灵活性训练不应被忽视，因为它们在保持关节健康和预防肌肉不平衡方面起着支持性作用。	Mobility work and flexibility training should not be neglected, as they play a supporting role in maintaining joint health and preventing muscular imbalances.	neglected, maintaining, imbalances
研究发现，即使是老年人，每周进行两次力量训练也能显著改善其功能独立性和生活质量。	Research has found that even elderly individuals who engage in strength training twice a week can significantly improve their functional independence and quality of life.	elderly, engage, functional
过度训练是一种真实存在的现象，会导致表现下降、持续疲劳和受伤易感性增加。	Overtraining is a genuine phenomenon that can lead to decreased performance, persistent fatigue, and increased susceptibility to injury.	genuine, persistent, susceptibility
离心训练——强调动作的下降阶段——对肌肉肥大和力量增长都高度有效。	Eccentric training, which emphasises the lowering phase of a movement, is highly effective for both muscle hypertrophy and strength gains.	Eccentric, emphasises, hypertrophy
核心力量不仅仅是拥有可见的腹肌；它指的是支撑和稳定脊柱的深层肌肉。	Core strength is not merely about having visible abdominal muscles; it refers to the deep musculature that supports and stabilises the spine.	merely, visible, stabilises
研究表明，早晨力量训练和傍晚力量训练在表现和受伤风险方面可能存在细微差异。	Studies suggest that there may be subtle differences in performance and injury risk between morning and evening strength training sessions.	subtle, injury, sessions
将增强式训练纳入常规训练中可以提高力量产生速率，这对爆发力运动中的运动员有利。	Incorporating plyometric exercises into a routine can improve the rate of force production, benefiting athletes in explosive sports.	Incorporating, plyometric, explosive
力量训练中最常见的误区之一是可以通过局部减脂来减少特定身体部位的脂肪。	A common myth in strength training is that one can spot-reduce fat in specific areas of the body through targeted exercises.	myth, spot-reduce, targeted
补水在力量表现中起着关键作用；即使是轻微的脱水也会损害力量输出和肌肉耐力。	Hydration plays a crucial role in strength performance; even mild dehydration can impair strength output and muscular endurance.	Hydration, mild, impair
跟踪训练过程——通过记录重量、次数和组数——对于客观评估进步和保持动力至关重要。	Tracking one's training progress through logging weights, repetitions, and sets is essential for objectively assessing improvement and maintaining motivation.	logging, objectively, motivation
力量训练的心理益处——包括增强自尊、减轻焦虑和提升身体意象——与身体益处同样重要。	The psychological benefits of strength training, including increased self-esteem, reduced anxiety, and improved body image, are just as significant as the physical benefits.	psychological, self-esteem, significant
