# 中文意思	英文完整句子	填空词，最多3个
过去四十年间，大多数发达国家的收入和财富不平等显著加剧，引发了关于社会公平的广泛辩论。	Income and wealth inequality has widened dramatically across most developed nations over the past four decades, sparking widespread debate about fairness and social justice.	widened, dramatically, sparking
贫富差距不仅仅是一个经济问题，它还转化为教育、医疗保健和生活机会方面的不平等。	The wealth gap is not merely an economic issue; it translates into disparities in education, healthcare access, and overall life opportunities.	merely, translates, opportunities
研究表明，高度不平等会削弱社会凝聚力，并可能导致犯罪率上升和对公共机构的信任下降。	Research indicates that high levels of inequality can erode social cohesion and lead to increased crime rates and declining trust in public institutions.	erode, cohesion, declining
累进税制被许多经济学家推崇为缩小贫富差距和资助公共服务的有效工具。	Progressive taxation is advocated by many economists as an effective tool for narrowing the wealth divide and funding essential public services.	Progressive, advocated, narrowing
继承财富占全球亿万富翁总财富的相当大一部分，这引发了关于机会平等的质疑。	Inherited wealth accounts for a substantial portion of total billionaire wealth globally, raising questions about the extent of genuine equality of opportunity.	Inherited, substantial, opportunity
教育往往被视为社会流动性的最可靠途径，但贫困家庭的儿童往往已经处于不利地位。	Education is often hailed as the most reliable pathway to social mobility, yet children from impoverished backgrounds typically start at a significant disadvantage.	hailed, mobility, disadvantage
数字鸿沟——在获取技术和数字技能方面的差距——正在成为贫富差距的一个新维度。	The digital divide, which refers to the gap in access to technology and digital skills, is emerging as a new dimension of wealth inequality.	divide, access, dimension
全球化和技术进步在创造巨大财富的同时，也使低技能工人被迫从事不稳定、低薪的工作。	Globalisation and technological advancement have generated immense wealth while simultaneously leaving low-skilled workers vulnerable to precarious, low-paying employment.	generated, simultaneously, precarious
亿万富翁的数量在过去十年中翻了一番，而数亿人每天生活费仍不足五美元。	The number of billionaires has doubled in the past decade, while hundreds of millions of people still subsist on less than five dollars a day.	doubled, subsist, dollars
经济适用房短缺一直是许多城市贫富差距的主要驱动因素，将财富从租户转移到业主手中。	The shortage of affordable housing has been a major driver of the wealth gap in many cities, transferring wealth from renters to property owners.	shortage, affordable, transferring
金融素养不平等意味着那些已经拥有财富的人更善于投资和管理资产，从而进一步扩大差距。	Financial literacy inequality means that those who already possess wealth are better equipped to invest and manage their assets, further compounding the gap.	literacy, possess, compounding
虽然某些收入不平等可以激励创新和努力，但极端不平等可能破坏民主和社会稳定。	While some income inequality can incentivise innovation and hard work, extreme disparities have the potential to undermine democratic institutions and social stability.	incentivise, undermine, stability
普遍基本收入作为解决自动化可能加剧不平等的一种方案已被提出，但其可行性和有效性仍存在广泛争议。	Universal basic income has been proposed as a potential solution to inequality exacerbated by automation, though its feasibility and effectiveness remain widely debated.	proposed, exacerbated, feasibility
代际财富转移——从父母到子女——在延续贫富差距中扮演着重要角色，这往往比劳动收入更具影响。	Intergenerational wealth transfers from parents to children play a significant role in perpetuating the wealth gap, often outweighing the impact of earned income over a lifetime.	transfers, perpetuating, outweighing
一些国家的女性贫困率更高，既反映了性别薪酬差距，也反映了劳动力参与机会的不平等。	Poverty rates among women are disproportionately high in some countries, reflecting both the gender pay gap and unequal access to labour force participation.	disproportionately, reflecting, participation
获得高质量医疗保健的差异意味着较贫穷的个体往往预后更差，并面临因疾病导致的财务困境。	Disparities in access to quality healthcare mean that poorer individuals often face worse health outcomes and suffer financial hardship from medical expenses.	Disparities, outcomes, hardship
最低工资政策是解决工作贫困问题最直接的措施之一，但其对就业水平的潜在影响仍存争议。	Minimum wage policy is one of the most direct mechanisms for addressing in-work poverty, though its potential effects on employment levels remain a subject of fierce debate.	mechanisms, addressing, fierce
净资产中种族差距是由包括歧视性住房政策和不平等教育机会在内的数百年系统性壁垒造成的。	Racial gaps in net worth are the product of centuries of systemic barriers, including discriminatory housing policies, unequal educational access, and biased lending practices.	systemic, discriminatory, biased
研究表明，在高不平等国家，即使是富裕群体也报告较低的生活满意度，表明不平等伤害整个社会。	Research shows that in high-inequality countries, even affluent groups report lower life satisfaction, suggesting that inequality has the potential to harm society as a whole.	affluent, satisfaction, harm
慈善事业虽然值得赞赏，但无法替代系统性变革，因为它往往只是缓解症状而非解决造成不平等的根本原因。	Philanthropy, though commendable in its intentions, cannot substitute for systemic reform, as it often alleviates symptoms rather than addressing the root causes of inequality.	commendable, substitute, alleviates
在农村地区，基础设施投资不足造成了经济机会的匮乏，并加速了人才向城市地区的流失。	In rural areas, insufficient investment in infrastructure creates a scarcity of economic opportunities and accelerates the drain of talent toward urban centres.	insufficient, scarcity, drain
童工现象仍然根植于极端贫困之中，因为家庭依赖子女的收入来维持生存。	Child labour remains deeply rooted in conditions of extreme poverty, as families depend on the income their children generate to meet basic survival needs.	rooted, depend, survival
气候变化的后果正在不成比例地影响低收入群体，他们缺乏应对极端天气事件和农作物歉收的资源。	The consequences of climate change are disproportionately affecting low-income communities, who lack the resources to cope with extreme weather events and crop failures.	consequences, disproportionately, cope
缩小贫富差距可能需要多方面的方法，包括累进税、教育投资和劳动力市场改革。	Closing the wealth gap may require a multi-faceted approach encompassing progressive taxation, investment in education, and comprehensive labour market reform.	encompassing, investment, comprehensive
经济流动性——个人随着时间推移改善其经济地位的能力——在大多数发达经济体中一直在下降。	Economic mobility, the ability of individuals to improve their economic standing over time, has been steadily declining across most major advanced economies for decades.	mobility, steadily, advanced
