# 中文意思	英文完整句子	填空词，最多3个
旅游业是全球经济的重要组成部分，为数亿人提供了就业机会和收入来源。	Tourism is a vital component of the global economy, providing employment opportunities and sources of income for hundreds of millions of people.	component, employment, hundreds
生态旅游的概念强调在享受自然美景的同时，最大程度地减少对环境的负面影响并造福当地社区。	The concept of ecotourism emphasises minimising the negative environmental impact and benefiting local communities while enjoying the beauty of nature.	ecotourism, minimising, benefiting
文化遗产旅游使游客能够亲身感受历史建筑和传统文化，但也带来了过度商业化的风险。	Cultural heritage tourism allows visitors to experience historic architecture and traditional culture first-hand, but it also brings the risk of excessive commercialisation.	heritage, first-hand, commercialisation
过度旅游已使威尼斯、巴塞罗那等热门城市的居民感到不堪重负，日常生活被大量游客所扰乱。	Overtourism has overwhelmed residents of popular cities such as Venice and Barcelona, whose daily lives have been disrupted by the sheer volume of visitors.	Overtourism, overwhelmed, sheer
国际旅游业在促进跨文化理解和消除偏见方面有着不可忽视的积极作用。	International tourism plays a positive role in promoting cross-cultural understanding and dismantling prejudice that cannot be overlooked.	promoting, dismantling, overlooked
背包旅行是一种低成本且自由的旅行方式，受到年轻人和寻求真实体验的冒险家的青睐。	Backpacking is a low-cost and free-spirited mode of travel favoured by young people and adventurers seeking authentic experiences.	Backpacking, free-spirited, authentic
酒店业在数字化浪潮中被迫转型，从在线预订到智能客房，技术正在重塑住宿体验。	The hospitality industry is being forced to transform amid the digital wave, with technology reshaping the accommodation experience from online booking to smart rooms.	hospitality, amid, accommodation
旅游纪念品行业在许多地方是手工艺人维持生计的主要来源，但也面临着被工厂大规模仿制冲击的压力。	The souvenir industry is a primary source of livelihood for artisans in many places, yet it also faces the pressure of being undercut by mass factory imitations.	souvenir, artisans, undercut
主题公园的精心策划设计旨在为游客创造难忘的沉浸式体验，模糊了幻想与现实之间的界限。	Theme parks are meticulously designed to create unforgettable immersive experiences for visitors, blurring the boundary between fantasy and reality.	meticulously, immersive, blurring
后疫情时代的旅游趋势显示，人们对户外旅行、国内就近旅游和健康主题的旅行有了更高的偏好。	Post-pandemic travel trends indicate a heightened preference for outdoor trips, domestic nearby travel, and wellness-themed journeys.	indicate, heightened, domestic
自然风景区在游客高峰期面临的垃圾和生态破坏压力，需通过限流和提高环保意识来管理。	Natural scenic spots face the pressure of litter and ecological damage during peak tourist seasons, which needs to be managed by limiting visitor numbers and raising environmental awareness.	scenic, litter, awareness
旅行社的传统中介角色在在线旅游平台的冲击下已被严重削弱，迫使它们提供更有附加值的定制服务。	The traditional intermediary role of travel agencies has been severely undermined by online travel platforms, forcing them to provide higher-value-added bespoke services.	intermediary, undermined, bespoke
可持续旅游的目的是在满足当代游客需求的同时，为子孙后代保护自然环境和人文资源。	Sustainable tourism aims to meet the needs of present-day travellers while protecting the natural environment and cultural resources for future generations.	Sustainable, present-day, generations
