# 中文意思	英文完整句子	填空词，最多3个
公益公司是一种将社会使命与盈利目标结合在法律章程中的新型企业形式。	A public benefit corporation is a novel corporate form that embeds a social mission alongside profit objectives within its legal charter.	novel, embeds, charter
共益企业认证要求公司在社会和环境绩效、透明度和问责制方面达到经过验证的高标准。	B Corp certification requires companies to meet verified high standards of social and environmental performance, transparency, and accountability.	verified, transparency, accountability
社会企业通过商业手段解决社会问题，将其利润的大部分重新投入到使命之中。	Social enterprises address societal problems through commercial means, reinvesting the majority of their profits into their mission.	address, commercial, reinvesting
影响力投资寻求在产生财务回报的同时创造可衡量的社会和环境效益。	Impact investing seeks to generate measurable social and environmental benefits alongside financial returns.	measurable, alongside, returns
企业社会责任已从一种边缘性的慈善活动演变为主流商业战略中不可或缺的组成部分。	Corporate social responsibility has evolved from a peripheral philanthropic activity into an integral component of mainstream business strategy.	evolved, peripheral, integral
ESG 标准日益被机构投资者用作评估公司长期可持续性和道德影响的关键框架。	ESG criteria are increasingly used by institutional investors as a critical framework for evaluating a company's long-term sustainability and ethical impact.	criteria, framework, evaluating
三重底线原则要求企业不仅要关注财务利润，还要同样重视其社会和环境影响。	The triple bottom line principle requires businesses to account not only for financial profit but also for their social and environmental impact with equal rigour.	bottom, account, rigour
共益企业区别于传统公司的关键之处在于其董事有法律义务考虑所有利益相关方的利益而不仅仅是股东回报。	What distinguishes benefit corporations from traditional companies is that directors have a legal duty to consider the interests of all stakeholders, not merely shareholder returns.	distinguishes, stakeholders, merely
社会影响力债券是一种创新型融资机制，私营投资者为预防性社会项目提供前期资金，若项目达到可衡量的成果则政府予以偿还。	Social impact bonds are an innovative financing mechanism where private investors provide upfront capital for preventative social programmes, with governments repaying if measurable outcomes are achieved.	mechanism, upfront, measurable
互助银行和合作社是会员所有制企业，优先考虑社区福利和财务可持续性而非利润最大化。	Mutual banks and cooperatives are member-owned enterprises that prioritise community welfare and financial sustainability over profit maximisation.	Mutual, enterprises, sustainability
公益公司运动代表着一个向 stakeholder capitalism 转变的深刻模式，它挑战了股东至上这一长期以来主导公司法律的传统原则。	The benefit corporation movement represents a profound shift towards stakeholder capitalism, challenging the traditional principle of shareholder primacy that has long dominated corporate law.	profound, primacy, dominated
公平贸易认证确保了发展中国家的生产者获得合理工资并在安全条件下工作，同时享有社区发展的额外溢价。	Fair trade certification ensures that producers in developing countries receive fair wages, work under safe conditions, and earn additional premiums for community development.	certification, premiums, development
循环经济模式旨在通过设计实现废弃物消除，保持产品和材料在使用中并再生自然系统。	The circular economy model aims to eliminate waste by design, keeping products and materials in use and regenerating natural systems.	eliminate, circular, regenerating
公益公司必须每年发布公益报告，根据第三方标准评估其社会和环境绩效。	Benefit corporations must publish an annual benefit report assessing their social and environmental performance against a third-party standard.	annual, assessing, standard
社会采购政策要求政府机构和大型机构在签订合同时考虑社会和道德因素而不仅仅考虑价格。	Social procurement policies require government agencies and large institutions to consider social and ethical factors, not solely price, when awarding contracts.	procurement, institutions, solely
企业的社会许可是建立在持续赢得公众的信任并证明其运营有益于社会而不仅仅惠及股东的基础上。	A corporation's social licence to operate is contingent on continuously earning public trust and demonstrating that its operations benefit society, not just shareholders.	contingent, continuously, demonstrating
员工持股计划为公司员工提供持有股份的途径、与公司长期成功紧密绑定，并增强员工在关键问题上的发言权。	Employee stock ownership plans give workers an ownership stake in the company, aligning their interests with long-term success and giving them a stronger voice in critical decisions.	ownership, aligning, voice
社区利益公司是英国独有的一种法律结构，专为那些将利润和资产用于公共利益的商业组织而设计。	Community interest companies are a unique legal structure in the United Kingdom designed specifically for businesses that dedicate their profits and assets to the public good.	unique, dedicate, assets
传统慈善模式被动地依赖于捐赠，而公益企业模式则主动利用市场力量在商业运营的每个环节创造积极的社会影响。	While traditional philanthropy passively depends on donations, the social enterprise model actively harnesses market forces to create positive social impact at every level of business operations.	passively, harnesses, impact
