# 中文意思	英文完整句子	填空词，最多3个
均衡的饮食应包含足量的蔬菜水果、优质蛋白质、复合碳水化合物和健康脂肪。	A balanced diet should include adequate amounts of fruit and vegetables, high-quality protein, complex carbohydrates, and healthy fats.	adequate, complex
地中海饮食模式以橄榄油、鱼类和适量红葡萄酒为特征，已被大量研究证实有助于心血管健康。	The Mediterranean dietary pattern, characterised by olive oil, fish, and moderate red wine consumption, has been confirmed by extensive research to benefit cardiovascular health.	Mediterranean, characterised, moderate
有机食品在生产过程中不使用合成农药和化肥，受到越来越多注重健康的消费者的追捧。	Organic food is produced without the use of synthetic pesticides or chemical fertilisers and is increasingly sought after by health-conscious consumers.	Organic, synthetic, sought
发酵食品如酸奶、泡菜和味噌富含益生菌，有助于维持肠道微生物的多样性和促进消化健康。	Fermented foods such as yoghurt, kimchi, and miso are rich in probiotics that help maintain the diversity of gut microbiota and promote digestive health.	Fermented, probiotics, diversity
食品安全是现代社会的底线要求，从农田到餐桌的可追溯链条是避免大规模食物中毒的关键所在。	Food safety is a bottom-line requirement of modern society, and a traceable chain from farm to fork is key to preventing large-scale food poisoning outbreaks.	traceable, chain, outbreaks
转基因生物在提高作物产量和营养质量方面具有广阔的潜力前景，但消费者对其的排斥主要由信息不对称和对未知的恐惧驱动。	Genetically modified organisms hold vast potential for boosting crop yields and nutritional quality, but consumer resistance is largely driven by information asymmetry and a fear of the unknown.	Genetically, potential, asymmetry
气候变化对全球咖啡和可可产区的温度与降水格局的影响，正在威胁这两种全球最受欢迎饮品的供应和品质。	The impact of climate change on the temperature and precipitation patterns of global coffee and cocoa growing regions is threatening the supply and quality of two of the world's most beloved beverages.	precipitation, beloved
全球约有三分之一生产的食物被浪费或损失，减少食物浪费是应对全球饥饿问题和环境压力的关键研究课题。	Approximately one third of all food produced globally is wasted or lost, and reducing food waste is a key research topic in tackling global hunger and environmental pressure.	Approximately, lost, hunger
膳食纤维对于肠道的规律运动和慢性代谢疾病的预防起着不可替代的作用。	Dietary fibre plays an irreplaceable role in the regular movement of the bowels and the prevention of chronic metabolic diseases.	fibre, bowels, prevention
对花生、牛奶和贝类的过敏已经成了全球关注的公共卫生问题，对过敏原的标识规定越来越严格。	Allergies to peanuts, milk, and shellfish have become a global public health concern, with allergen labelling regulations becoming increasingly stringent.	Allergies, shellfish, stringent
辣椒中的辣椒素会刺激口腔的痛觉受体释放内啡肽，这就是为什么热爱辛辣饮食会上瘾。	Capsaicin in chilli peppers stimulates the pain receptors in the mouth to release endorphins, which is why a love of spicy food can be somewhat addictive.	Capsaicin, stimulates, addictive
在发达国家的饮食结构中，超加工食品已占每日热量摄入的一半以上，这也是肥胖蔓延的幕后推手。	In the dietary structure of developed countries, ultra-processed foods already account for over half of daily caloric intake, serving as the invisible driver behind the obesity epidemic.	dietary, ultra-processed, epidemic
精制糖的过量摄入与二型糖尿病、脂肪肝和龋齿等疾病密切相关，减糖是全球营养师的共同呼声。	Excessive intake of refined sugar is closely associated with diseases such as type 2 diabetes, fatty liver disease, and dental cavities, and reducing sugar consumption is the shared call of nutritionists worldwide.	Excessive, refined, cavities
茶文化在亚洲有着数千年的深厚传统，饮茶不仅是为了解渴，更是社交礼仪和精神修行的载体。	Tea culture has a profound tradition spanning thousands of years in Asia, where tea drinking is not only for quenching thirst but also serves as a vehicle for social etiquette and spiritual cultivation.	profound, quenching, vehicle
间歇性禁食通过限制进食的时间窗口来调节胰岛素敏感度和促进细胞自噬以延缓衰老。	Intermittent fasting works by restricting the eating time window to regulate insulin sensitivity and promote cellular autophagy to delay ageing.	Intermittent, restricting, autophagy
牛奶和乳制品的摄入在各国营养膳食指南中通常被推荐，但有相当比例的人患有乳糖不耐受。	The intake of milk and dairy products is generally recommended in the dietary guidelines of various countries, yet a significant proportion of the population suffers from lactose intolerance.	dairy, dietary, intolerance
饥荒和营养不足仍在一些地区威胁着数百万人的生存，而同一世界另一端的景象却是奢侈和浪费。	Famine and undernutrition continue to threaten the survival of millions in some regions, while the scene at the other end of the same world is one of luxury and waste.	Famine, undernutrition, luxury
从营养学的角度而言，早餐并非绝对必要的一餐，但规律的高质量早餐有助于稳定全天的血糖和精力。	From a nutritional perspective, breakfast is not an absolutely essential meal, but a regular high-quality breakfast helps to stabilise blood sugar and energy levels throughout the day.	perspective, essential, stabilise
巧克力从阿兹特克人的苦味仪式饮料演变为欧洲皇室争相追捧的奢侈甜品，折射出食物在全球贸易中的角色转变。	Chocolate evolved from a bitter ritual drink of the Aztecs into a luxury confection eagerly sought after by European royalty, reflecting the shifting role of food in global trade.	ritual, luxury, shifting
酿造葡萄酒的风土概念融合了土壤、气候、微地形和酿酒传统，这正是许多产区得以独树一帜的灵魂所在。	The concept of terroir in winemaking integrates soil, climate, micro-topography, and winemaking traditions, which is precisely the soul that distinguishes many wine regions.	terroir, integrates, distinguishes
素食主义的动机多种多样，从宗教慈悲和动物福利到环境可持续性和个人健康管理。	The motivations for veganism are diverse, ranging from religious compassion and animal welfare to environmental sustainability and personal health management.	veganism, diverse, compassion
精酿啤酒运动代表了消费者对大批量工业化生产的一致性口味的反叛，追求风味的多样性和在地性。	The craft beer movement represents a consumer rebellion against the uniform taste of mass industrial production, pursuing diversity and locality of flavour.	craft, rebellion, locality
禁止使用反式脂肪的立法在世界各国政策推进中取得了显著成效，明显降低了相关地区的心脏病发病率。	Legislation banning trans fats has achieved remarkable success across various nations' policy efforts, markedly reducing the incidence of heart disease in the relevant regions.	trans, markedly, incidence
新型食品如人造肉和昆虫蛋白正被探索作为应对人口增长和气候变化的可持续食物来源。	Novel foods such as cultured meat and insect protein are being explored as sustainable food sources in response to population growth and climate change.	Novel, cultured, sustainable
粮食主权主张将粮食生产控制权交还给地方社区和小农户，以避免对跨国农业公司和全球市场的过度依附。	Food sovereignty advocates returning the control of food production to local communities and smallholders to avoid excessive dependency on multinational agribusiness and global markets.	sovereignty, smallholders, dependency
