# 中文意思	英文完整句子	填空词，最多3个
生成式人工智能能够根据文本提示创建图像、音乐和视频内容。	Generative artificial intelligence can create images, music, and video content based on textual prompts.	Generative, prompts, content
大型语言模型通过从海量数据集中学习模式来生成类似人类的文本。	Large language models generate human-like text by learning patterns from massive datasets.	generate, patterns, massive
扩散模型通过逐步去除噪声将随机噪声转化为高质量图像。	Diffusion models transform random noise into high-quality images by gradually removing the noise.	Diffusion, transform, gradually
AI 生成的深度伪造视频引发了关于虚假信息和选举干预的严重担忧。	AI-generated deepfake videos have raised serious concerns about disinformation and election interference.	deepfake, disinformation, interference
提示工程是与生成模型有效沟通以产生期望输出的实践。	Prompt engineering is the practice of communicating effectively with generative models to produce desired outputs.	engineering, effectively, desired
文本到图像生成工具已彻底改变了数字艺术，使创作变得触手可及。	Text-to-image generation tools have revolutionised digital art, making creative expression accessible to everyone.	revolutionised, accessible, expression
GPT 和同类的自回归模型一次预测一个 token，从而逐步构建出连贯的文本输出。	Autoregressive models like GPT predict one token at a time, progressively building coherent textual output.	Autoregressive, progressively, coherent
AI 生成内容的版权归属在大多数法律管辖区中仍是一个悬而未决的问题。	The copyright ownership of AI-generated content remains an unresolved question in most legal jurisdictions.	copyright, unresolved, jurisdictions
检索增强生成通过将外部知识整合到回复中来提高事实准确性。	Retrieval-augmented generation improves factual accuracy by incorporating external knowledge into responses.	retrieval-augmented, incorporating, responses
合成数据生成正被用于训练 AI 模型，同时保护隐私并减少偏见。	Synthetic data generation is being used to train AI models while preserving privacy and reducing bias.	Synthetic, preserving, bias
创意产业正面临 AI 工具可能取代插画师、作家和音乐家的颠覆性变革。	The creative industries are facing disruption as AI tools potentially replace illustrators, writers, and musicians.	disruption, potentially, illustrators
生成式预训练模型利用了 transformer 架构中的自注意力机制。	Generative pre-trained models leverage the self-attention mechanism within the transformer architecture.	leverage, mechanism, architecture
文本到视频模型使创作者无需昂贵的制作设备即可生成短视频片段。	Text-to-video models enable creators to generate short video clips without expensive production equipment.	enable, generate, equipment
生成模型的对抗性训练涉及一个生成器和一个判别器相互竞争的过程。	Adversarial training of generative models involves a generator and a discriminator competing against each other.	Adversarial, generator, discriminator
AI 音乐生成引发了关于真实艺术创作与算法模仿之间区别的哲学辩论。	AI music generation has sparked philosophical debates about the distinction between authentic artistic creation and algorithmic imitation.	philosophical, authentic, imitation
可控生成技术允许用户对输出的风格、色调和构图进行精细调整。	Controllable generation techniques allow users to fine-tune the style, tone, and composition of outputs.	Controllable, fine-tune, composition
企业正在将生成式 AI 嵌入到客户服务、营销和产品设计等关键工作流程中。	Enterprises are embedding generative AI into critical workflows such as customer service, marketing, and product design.	embedding, critical, workflows
开源生成模型使创新大众化，使研究人员和初创公司能够与科技巨头竞争。	Open-source generative models democratise innovation, enabling researchers and startups to compete with tech giants.	democratise, enabling, startups
通过指令微调，生成模型能够更准确地遵循用户的意图并减少有害输出。	Through instruction fine-tuning, generative models can follow user intent more accurately and reduce harmful outputs.	instruction, accurately, harmful
生成式 AI 的能源消耗引发了环境方面的担忧，因为大规模训练需要大量计算资源。	The energy consumption of generative AI raises environmental concerns, as large-scale training requires substantial computational resources.	consumption, substantial, computational
多模态生成模型可以跨文本、图像和音频同时理解和生成内容。	Multimodal generative models can understand and produce content across text, images, and audio simultaneously.	Multimodal, simultaneously, produce
个性化内容生成可以根据用户偏好和浏览记录为每个用户定制独特的体验。	Personalised content generation can tailor unique experiences for each user based on their preferences and browsing history.	tailor, preferences, browsing
AI 辅助代码生成减少了繁琐的模板编写工作，但需要人工审查以确保安全性。	AI-assisted code generation reduces tedious boilerplate writing but requires human review to ensure security.	tedious, boilerplate, ensure
生成式 AI 教育工具通过提供实时解释和自适应练习题来帮助学生进行个性化学习。	Generative AI educational tools support personalised learning by offering real-time explanations and adaptive practice questions.	personalised, adaptive, questions
高质量合成图像的泛滥威胁到在线视觉证据的可信度，需要开发新的验证方法。	The proliferation of high-quality synthetic images threatens the credibility of visual evidence online, necessitating new verification methods.	proliferation, credibility, necessitating
