# 中文意思	英文完整句子	填空词，最多3个
气候变化是对全球生态系统最紧迫的威胁之一，需要立即采取集体行动。	Climate change is one of the most pressing threats to global ecosystems and requires immediate collective action.	pressing, ecosystems, collective
燃烧化石燃料释放大量二氧化碳，导致温室效应加剧。	Burning fossil fuels releases enormous amounts of carbon dioxide, which intensifies the greenhouse effect.	fossil, intensifies, greenhouse
转向太阳能和风能等可再生能源对于减少碳排放至关重要。	Shifting to renewable energy sources such as solar and wind power is essential for reducing carbon emissions.	renewable, essential, emissions
许多国家已经承诺到本世纪中叶实现碳中和。	Many countries have pledged to achieve carbon neutrality by the middle of this century.	pledged, neutrality
砍伐森林不仅破坏栖息地，还会降低地球吸收二氧化碳的能力。	Deforestation not only destroys habitats but also reduces the planet's capacity to absorb carbon dioxide.	Deforestation, habitats, absorb
生物多样性对于维持稳定的生态系统和为人类提供资源至关重要。	Biodiversity is crucial for sustaining stable ecosystems and providing resources for human beings.	Biodiversity, sustaining, resources
塑料污染已成为一个严重的环境问题，尤其是在海洋中。	Plastic pollution has become a severe environmental issue, particularly in the world's oceans.	severe, issue, oceans
许多海洋物种由于误食塑料或因废弃渔具而被缠住而死亡。	Many marine species die from ingesting plastic waste or becoming entangled in discarded fishing gear.	marine, ingesting, entangled
政府应实施更严格的环境法规，以限制工业排放。	Governments should implement stricter environmental regulations to limit industrial emissions.	implement, regulations, industrial
可持续农业实践可以保护土壤质量并减少化学品的流失。	Sustainable agricultural practices can preserve soil quality and reduce chemical runoff into waterways.	Sustainable, preserve, runoff
城市地区的空气质量已经恶化到危险水平，导致呼吸系统疾病增加。	Air quality in urban areas has deteriorated to dangerous levels, leading to a rise in respiratory diseases.	deteriorated, respiratory
保护自然栖息地对防止物种灭绝和维护生态平衡至关重要。	Protecting natural habitats is vital for preventing species extinction and maintaining ecological balance.	vital, extinction, ecological
快时尚行业产生大量纺织废料，并对水道造成化学污染。	The fast fashion industry generates massive amounts of textile waste and chemical pollution in waterways.	generates, textile, pollution
个人可以通过回收利用、减少肉类消费和使用公共交通做出贡献。	Individuals can contribute by recycling waste, reducing meat consumption, and using public transport.	contribute, consumption, transport
全球气温上升导致极地冰盖融化和海平面上升。	Rising global temperatures are causing polar ice caps to melt and sea levels to rise.	polar, melt
极端天气事件，如洪水、干旱和野火，正变得越来越频繁和强烈。	Extreme weather events such as floods, droughts, and wildfires are becoming more frequent and intense.	droughts, frequent, intense
发展中国家的快速城市化正对当地水资源和绿地施加巨大压力。	Rapid urbanisation in developing countries is putting enormous pressure on local water resources and green spaces.	urbanisation, enormous, resources
许多公司现在正在采用环保做法，以满足消费者对可持续产品日益增长的需求。	Many companies are now adopting eco-friendly practices to meet the growing consumer demand for sustainable products.	adopting, consumer, sustainable
保护濒危物种需要国际合作和严格的执法。	Conserving endangered species requires international cooperation and strict law enforcement.	Conserving, cooperation, enforcement
碳排放税被视为激励行业投资清洁技术的一种有效方式。	A carbon tax is regarded as an effective way to incentivise industries to invest in cleaner technologies.	tax, incentivise, technologies
土壤退化影响粮食安全，并可能导致受影响地区的荒漠化。	Soil degradation affects food security and can lead to desertification in the affected regions.	degradation, desertification
公众意识运动在教育人们了解环境保护重要性方面发挥着关键作用。	Public awareness campaigns play a key role in educating people about the importance of environmental conservation.	awareness, role, conservation
过度捕捞破坏了海洋食物链，并威胁到数百万依赖渔业的人口的生计。	Overfishing has disrupted marine food chains and threatened the livelihoods of millions of people who depend on fishing.	Overfishing, disrupted, livelihoods
投资绿色基础设施不仅有利于环境，而且能创造新的经济机会。	Investing in green infrastructure not only benefits the environment but also creates new economic opportunities.	infrastructure, benefits, opportunities
湿地为无数物种提供了重要的繁殖地，并起到防止洪水的天然缓冲区作用。	Wetlands provide essential breeding grounds for countless species and act as natural buffers against flooding.	Wetlands, breeding, buffers
化学品和杀虫剂的过度使用污染了土壤和地下水，带来了长期的健康风险。	The excessive use of chemicals and pesticides has contaminated soil and groundwater, posing long-term health risks.	excessive, contaminated, posing
环保活动家在引起人们对环境危机的关注和推动政策变革方面发挥了重要作用。	Environmental activists have played a significant role in drawing attention to ecological crises and pushing for policy changes.	activists, drawing, policy
循环经济鼓励企业设计废物排出生产系统并最大化资源效率。	The circular economy encourages businesses to design waste out of production systems and maximise resource efficiency.	circular, maximise, efficiency
