# 中文意思	英文完整句子	填空词，最多3个
奋斗文化颂扬长时间工作和将职业成功置于个人生活之上，这种文化在科技和金融行业中尤为盛行。	Hustle culture glorifies long working hours and the prioritisation of career success over personal life, a mindset particularly prevalent in the technology and finance industries.	glorifies, prioritisation, prevalent
职业倦怠已被世界卫生组织认定为一种由长期未得到有效管理的工作场所压力引起的职业现象。	Burnout has been recognised by the World Health Organisation as an occupational phenomenon resulting from chronic workplace stress that has not been successfully managed.	recognised, chronic, managed
工作与生活的平衡已成为现代职场中的一个核心议题，因为员工们日益抵制随时随地保持在线状态的期望。	Work-life balance has become a central issue in the modern workplace, as employees increasingly push back against the expectation of being constantly available and responsive.	balance, increasingly, expectation
零工经济提供了灵活性，但也剥夺了工人传统雇佣关系中所享有的稳定性、福利待遇和劳动法律保护。	The gig economy offers flexibility but deprives workers of the stability, benefits, and labour protections traditionally associated with standard employment relationships.	flexibility, deprives, associated
日本的过劳死现象以员工因过度工作导致的身心崩溃甚至自杀为特征，极端地揭示了奋斗文化的危害性。	Japan's karoshi phenomenon, characterised by employees suffering physical and mental collapse or even suicide from excessive overwork, starkly illustrates the dangers of extreme hustle culture.	phenomenon, excessive, starkly
千禧一代和 Z 世代比前辈们更重视工作中的目标感和意义感，他们愿意用更高的薪水来换取更大的工作满足感。	Millennials and Generation Z place greater value on purpose and meaning at work than previous generations, willing to trade higher salaries for greater job satisfaction.	value, purpose, willing
生产力剧场指的是员工营造出看起来很忙碌的表象但没有产出实际成果，这种现象在那些将出勤和加班看得比效率更重要的组织文化中非常普遍。	Productivity theatre describes the phenomenon of employees appearing busy without producing meaningful output, common in organisational cultures that prioritise presence and late hours over genuine efficiency.	phenomenon, meaningful, prioritise
安宁离职描述了员工放弃超越职责的雄心只做合同规定的最低限度工作，这通常是对持续的压力和缺乏认可的一种反应。	Quiet quitting describes the trend of employees doing the bare minimum required by their job description rather than going above and beyond, often as a reaction to persistent pressure and lack of recognition.	describes, minimum, recognition
成长型思维是一种信念，即能力和智力可以通过持续的专注、有效的策略和他人的反馈来发展和提高。	A growth mindset is the belief that abilities and intelligence can be developed and improved through sustained effort, effective strategies, and constructive input from others.	mindset, sustained, constructive
坚毅力被定义为对长期目标的激情和坚持不懈，研究表明它与实现目标成功的相关性甚至超过天赋或智商。	Grit is defined as passion and sustained perseverance for long-term goals, with research suggesting it predicts achievement success better than talent or IQ alone.	perseverance, predicts, talent
创业文化既提倡颠覆性的创新和接受失败，也因其可能导致冒险主义膨胀和缺乏对身心健康的自我关爱而受到批评。	Entrepreneurial culture champions disruptive innovation and embracing failure, but it has also been criticised for potentially fostering recklessness and neglecting self-care for mental and physical well-being.	champions, embracing, criticised
奋斗文化叙事往往将成功与道德美德混为一谈，暗示那些未能获得财富或声望的人仅仅是努力不够，而忽略了影响结果的系统性障碍。	The hustle culture narrative frequently conflates success with moral virtue, implying that those who don't achieve wealth or prestige simply haven't worked hard enough, while ignoring systemic barriers that shape outcomes.	conflates, implying, barriers
中国的996工作文化引发了关于劳动权利和工作与生活边界的广泛公众讨论，尤其是在年轻科技工作者中。	China's 996 work culture has sparked widespread public debate about labour rights and work-life boundaries, particularly among young technology professionals.	sparked, boundaries, professionals
公司健康计划已成为一种企业战略，以应对奋斗文化对员工身心健康、保留率和组织生产力方面的负面影响。	Corporate wellness programmes have emerged as a workplace strategy to counteract the negative effects of hustle culture on employee well-being, retention, and organisational productivity.	wellness, counteract, retention
数字游民运动代表了一种拒绝传统奋斗文化的模式，它利用远程工作技术去追求一种将旅行、个人自由和有意义的职业工作相结合的生活方式。	The digital nomad movement represents a rejection of traditional hustle culture, leveraging remote work technology to pursue a lifestyle that combines travel, personal freedom, and meaningful professional work.	represents, leveraging, meaningful
雄心与贪婪之间的界限是微妙且经常被争论的，因为奋斗文化会模糊追求卓越与不道德行为之间的界限。	The boundary between ambition and greed is subtle and frequently contested, as hustle culture can blur the line between striving for excellence and engaging in unethical behaviour.	boundary, subtle, unethical
社会对忙碌的浪漫化，即把过度工作视为一种可敬的活动，已受到广泛批评，因为它会导致身心疲惫的流行并侵蚀与家人和朋友的相处时间。	The romanticisation of busyness, treating overwork as a badge of honour, has been widely criticised for contributing to the epidemic of burnout and eroding quality time with family and friends.	romanticisation, badge, eroding
反工作运动虽然并非主张懒惰，但挑战了工作应该是生活的中心焦点这一基本假设，并倡导更短的工作周和对休闲的重新评估。	The anti-work movement, while not advocating laziness, challenges the fundamental assumption that work should be the central focus of life, advocating for shorter work weeks and a reassessment of leisure.	fundamental, advocating, reassessment
激情经济被宣传为奋斗文化的替代方案，它鼓励个人将他们所热爱和擅长的事情变现，但它也可能无意中将爱好变成压力源。	The passion economy is promoted as an alternative to hustle culture, encouraging individuals to monetise what they love and excel at, but it may inadvertently turn hobbies into sources of stress.	promoted, monetise, inadvertently
北欧国家试行的四天工作周实验表明，更短的工作时间可以在不降低产出水平的情况下显著提高员工的幸福感和生产率。	Four-day work week experiments in Nordic countries have demonstrated that shorter working hours can significantly improve employee well-being and productivity without compromising output levels.	demonstrated, significantly, compromising
