# 中文意思	英文完整句子	填空词，最多3个
肌肉生长或肥大，发生在肌纤维因阻力训练而受损并通过蛋白质合成进行修复时。	Muscle growth, or hypertrophy, occurs when muscle fibres sustain damage through resistance training and are subsequently repaired through protein synthesis.	hypertrophy, sustain, subsequently
要实现肌肉增长，必须保持热量盈余——消耗的卡路里要多于身体维持当前体重所需的量。	To achieve muscle gain, one must maintain a caloric surplus, consuming slightly more calories than the body requires for maintaining its current weight.	surplus, consuming, maintaining
蛋白质摄入对肌肉蛋白质合成至关重要，每天摄入1.6至2.2克/公斤体重通常被推荐给那些积极训练的人。	Protein intake is vital for muscle protein synthesis, with one point six to two point two grams per kilogram of body weight commonly recommended for those actively training.	intake, vital, recommended
渐进超负荷——在肌肉适应后逐渐增加阻力、训练量或频率——是持续肌肉增长的基本原则。	Progressive overload, the gradual increase of resistance, volume, or frequency as muscles adapt, is the fundamental principle behind continued muscle development.	gradual, fundamental, adapt
复合运动如深蹲和硬拉能同时刺激多个肌肉群，促进更高的激素反应和功能力量增益。	Compound exercises such as squats and deadlifts stimulate multiple muscle groups simultaneously, promoting a higher hormonal response and greater functional strength gains.	Compound, simultaneously, hormonal
肌肉在休息期间生长而非训练期间，这就是为什么充足的睡眠和恢复对于增肌和预防受伤至关重要。	Muscles grow during periods of rest rather than during training sessions, which is why adequate sleep and recovery are crucial for building mass and preventing injury.	adequate, crucial, preventing
训练容量——组数乘以次数乘以重量——必须仔细管理，因为过少容量刺激不足，过多则导致过度训练。	Training volume, defined as sets multiplied by repetitions multiplied by weight, must be managed carefully, as too little provides insufficient stimulus while too much leads to overtraining.	volume, managed, stimulus
机械张力、代谢压力和肌肉损伤是驱动肌肉适应的三大主要机制，支撑着有效的增肌训练。	Mechanical tension, metabolic stress, and muscle damage are the three primary mechanisms that drive muscular adaptation and underpin effective hypertrophy training.	tension, mechanisms, underpin
许多训练者低估了坚持的重要性，高估了训练多样性，而长期持续执行有效计划才是实现持久增肌的关键。	Many trainees underestimate the importance of consistency and overvalue variety, while sustained adherence to an effective programme produces lasting gains over time.	underestimate, adherence, gains
达到或接近力竭进行训练对肌肉增长有效，但不应在每一组的每一个动作中都这样做，以免造成中枢神经系统疲劳。	Training to or near failure is effective for muscle growth but should not be applied to every set of every exercise to avoid excessive central nervous system fatigue.	failure, applied, excessive
虽然蛋白质至关重要，但碳水化合物提供训练能量并补充肌糖原，脂肪支持激素生成——包括睾酮。	While protein is essential, carbohydrates fuel training performance and replenish muscle glycogen, and fats support hormone production, including testosterone.	essential, replenish, production
动作姿势永远比举起的重量更重要；不良姿势会导致受伤，并在长期内阻碍肌肉增长。	Exercise form is always more important than the weight being lifted; poor technique leads to injury and hinders muscle growth over the long term.	technique, injury, hinders
研究表明，每周训练每个肌群两次产生的结果优于每周只练一次，因为更频繁的刺激更有利于蛋白质合成。	Research indicates that training each muscle group twice per week produces superior results compared to once-weekly training, as more frequent stimulation favours protein synthesis.	indicates, superior, stimulation
运动范围——离心和向心两个阶段都要完整——对于最大化肌纤维募集和促进全面肌肉发展至关重要。	Range of motion through both the eccentric and concentric phases is critical for maximising muscle fibre recruitment and promoting full muscular development.	phases, critical, recruitment
补剂如肌酸已被广泛研究，证明能通过增强ATP再生来提高力量和肌肉耐力，但整全食物仍然是基础。	Supplements such as creatine have been extensively researched and shown to improve strength and muscle endurance by enhancing ATP regeneration, though whole foods remain the foundation.	extensively, enhancing, foundation
压力管理直接影响肌肉增长，因为升高的皮质醇水平会抑制蛋白质合成并促进肌肉组织分解。	Stress management directly affects muscle growth, as elevated cortisol levels can suppress protein synthesis and promote the breakdown of existing muscle tissue.	directly, elevated, suppress
不同握法和手位可以改变同一动作所强调的具体肌纤维区域，从而实现更全面的肌肉发展。	Different grip positions and hand placements can alter the specific muscle fibres emphasised during the same exercise, enabling more comprehensive muscular development.	grip, alter, comprehensive
离心训练——强调动作的下降或拉长阶段——对肌肉肥大特别有效，应该被有意识地纳入训练计划中。	Eccentric training, which emphasises the lowering or lengthening phase of a movement, is particularly effective for hypertrophy and should be deliberately incorporated into training programmes.	emphasises, deliberately, incorporated
跟踪训练日志对于客观评估进步和做出基于数据的调整至关重要，而不是仅凭感觉猜测。	Tracking training sessions in a logbook is essential for objectively assessing progress and making data-driven adjustments rather than relying on subjective feelings.	logbook, objectively, subjective
肌肉连接感——在运动中有意识地专注于收缩目标肌肉——可以通过改善神经效率来提高肌肉激活程度。	The mind-muscle connection, consciously focusing on contracting the target muscle during exercise, can enhance muscle activation by improving neuromuscular efficiency throughout the set.	consciously, enhance, efficiency
增肌期后通常会进入减脂期，目的是在保持已获得的肌肉量的同时，减少身体脂肪以展现肌肉分离度。	A bulking phase is typically followed by a cutting phase, aiming to reduce body fat while preserving the muscle mass that has been gained.	bulking, followed, preserving
不同个体对完全相同的训练计划的反应差异显著，这既归因于遗传因素，也归因于之前训练史和当前营养状况。	Individual responses to identical training programmes can vary significantly, attributable to genetic factors as well as previous training history and current nutritional status.	identical, attributable, status
将周期化纳入训练——在不同阶段中战略性地变化训练量和强度——有助于防止停滞期并确保持续进步。	Incorporating periodisation into training, strategically varying volume and intensity across different phases, helps prevent plateaus and ensures continuous long-term progress.	periodisation, strategically, plateaus
水合作用在肌肉功能中起着关键作用；仅2%的脱水就能显著降低力量输出和训练表现。	Hydration plays a critical role in muscular function; dehydration of just two per cent can significantly reduce strength output and overall training performance.	critical, significantly, overall
新手的增肌速度通常比有经验者更快，这种现象被称为新手增益，是肌肉系统对全新刺激的高反应所致。	Beginners typically gain muscle at a faster rate than experienced individuals, a phenomenon known as newbie gains resulting from the body's heightened response to a novel stimulus.	rate, phenomenon, novel
