# 中文意思	英文完整句子	填空词，最多3个
阿拉比卡和罗布斯塔是两种主要的商业咖啡品种，前者以其细腻的风味和较低的咖啡因含量而闻名。	Arabica and Robusta are the two primary commercial coffee species, with the former renowned for its nuanced flavour profile and lower caffeine content.	primary, renowned, nuanced
咖啡豆实际上是一种水果的种子，通常被称为咖啡樱桃，在收获后必须经过加工、干燥和烘焙才能用于冲泡。	Coffee beans are actually the seeds of a fruit commonly referred to as a coffee cherry, which must be processed, dried, and roasted after harvesting before they can be brewed.	referred, processed, roasted
日晒处理法让咖啡樱桃在阳光下整颗干燥，赋予咖啡豆更浓郁的水果风味和更厚重的醇度。	The natural or dry processing method involves drying whole coffee cherries in the sun, imparting the beans with a fuller fruity flavour and a heavier body.	involves, imparting, body
水洗处理法在干燥前先去除果肉和粘液，产生更干净、更明亮、更酸性的咖啡风味特征。	The washed or wet processing method removes the fruit pulp and mucilage before drying, resulting in a cleaner, brighter, and more acidic flavour profile.	mucilage, resulting, acidic
咖啡烘焙是一个复杂的化学过程，生豆通过美拉德反应和焦糖化作用发展出其特有的芳香和风味化合物。	Coffee roasting is a complex chemical process where green beans develop their characteristic aromatic and flavour compounds through Maillard reactions and caramelisation.	characteristic, aromatic, compounds
浅度烘焙保留了更多咖啡豆的原产地特性，展现出更复杂的酸度和花香果味，而深度烘焙则带来更深沉、更苦甜的风味。	Light roasts preserve more of the bean's origin characteristics, showcasing complex acidity and floral or fruity notes, while dark roasts yield deeper, more bittersweet flavours.	preserve, showcasing, yield
浓缩咖啡是通过在高压下将接近沸腾的水压过精细研磨的咖啡粉而制成的，形成一层浓郁的金色油脂浮在表面。	Espresso is brewed by forcing near-boiling water through finely ground coffee under high pressure, producing a concentrated shot topped with a rich golden crema.	forcing, finely, crema
咖啡的研磨度必须与冲泡方法相匹配，例如法压壶需要粗研磨以防过度萃取，而浓缩咖啡则需要细研磨以在短时间内实现充分萃取。	The grind size must be matched to the brewing method; for instance, French press requires a coarse grind to prevent over-extraction, while espresso demands a fine grind for proper extraction in a short time.	coarse, extraction, demands
杯测是咖啡行业用于评估咖啡香气、风味、醇度、酸度和余韵的标准方法，供专业品鉴师系统地评价样品质量。	Cupping is the standardised method professionals in the coffee industry use to evaluate a coffee's aroma, flavour, body, acidity, and aftertaste, systematically assessing the quality of samples.	standardised, evaluate, assessing
单一产地咖啡来自特定地理区域，如埃塞俄比亚的耶加雪菲或哥伦比亚的蕙兰，以展示该地区独特的风土条件。	Single-origin coffee is sourced from a specific geographic region, such as Yirgacheffe in Ethiopia or Huila in Colombia, intended to showcase the unique terroir of that area.	sourced, showcase, terroir
咖啡因是一种天然的兴奋剂，通过阻断大脑中促进睡眠的腺苷受体来暂时延缓疲劳并保持警觉。	Caffeine is a natural stimulant that temporarily wards off drowsiness and restores alertness by blocking adenosine receptors in the brain that promote sleep.	stimulant, blocking, receptors
冷萃咖啡是通过将粗磨咖啡豆在冷水中长时间浸泡十二至二十四小时制成的，产生一种口感顺滑、低酸且天然带有甜味的咖啡浓缩液。	Cold brew coffee is made by steeping coarsely ground beans in cold water for an extended period of twelve to twenty-four hours, yielding a smooth, low-acid, and naturally sweet coffee concentrate.	steeping, yielding, concentrate
公平贸易认证旨在确保咖啡农获得合理的最低价格和社区发展溢价，从而促进可持续的农业实践。	Fair trade certification aims to ensure that coffee farmers receive a guaranteed minimum price and a community development premium, thereby promoting sustainable agricultural practices.	guaranteed, premium, sustainable
咖啡带指的是赤道两侧纬度大约二十五度之间的区域，那里的热带气候条件最适合种植高品质的咖啡。	The coffee belt refers to the equatorial zone between roughly twenty-five degrees latitude north and south, where tropical climatic conditions are most suitable for cultivating high-quality coffee.	equatorial, latitude, cultivating
咖啡果的去皮过程必须精心控制，因为发酵不足会导致异味，而过度发酵会产生过酸甚至腐烂的风味。	The pulping and fermentation stages of coffee processing must be carefully controlled, as under-fermentation produces unpleasant defective flavours, while over-fermentation leads to excessively sour or even rotten tastes.	carefully, defective, excessively
意式咖啡机的发明可以追溯到二十世纪初，它彻底改变了咖啡的制备和消费方式，从一壶兑水咖啡走向了快速提取和浓缩化的道路。	The invention of the espresso machine can be traced back to the early twentieth century, revolutionising the way coffee is prepared and consumed, moving from brewed pots to rapid extraction and concentrated form.	traced, revolutionising, consumed
咖啡的醇度指的是口腔中感知到的重量或厚实感，通常被描述为轻盈、中等或浓郁，它与咖啡中的溶解油脂和纤维含量直接相关。	The body of coffee refers to the weight or thickness perceived in the mouth, commonly described as light, medium, or full, and is directly related to the dissolved oils and fibre content in the brew.	perceived, directly, brew
咖啡的脱因过程通常在生豆阶段通过瑞士水处理法或二氧化碳萃取法进行，在保留大部分原始风味的同时去除绝大部分咖啡因。	Decaffeination is typically performed on green beans using methods such as the Swiss Water Process or carbon dioxide extraction, removing the vast majority of caffeine while preserving most of the original flavour.	Decaffeination, majority, preserving
咖啡在十五世纪从也门的苏菲派修道院传播到阿拉伯世界，随后通过奥斯曼帝国和欧洲殖民贸易路线扩展到了全球。	Coffee spread from Sufi monasteries in Yemen through the Arab world in the fifteenth century before expanding globally via the Ottoman Empire and European colonial trade routes.	monasteries, expanding, colonial
冲泡咖啡的理想水温在一百九十五到二百零五华氏度之间，温度过低的水会导致萃取不足，而过热的水则会萃取出苦味和涩味化合物。	The ideal water temperature for brewing coffee ranges between one hundred and ninety-five and two hundred and five degrees Fahrenheit; too cool results in under-extraction, while excessively hot water extracts bitter and astringent compounds.	ranges, under-extraction, astringent
咖啡鲜果采摘需要手工劳动，因为咖啡樱桃并非同时成熟，有经验的采摘工只挑选完全成熟的红色樱桃以获得最优质的咖啡。	Coffee harvesting is labour-intensive, as cherries on the same branch ripen at different times, requiring skilled pickers to selectively harvest only the fully ripe red cherries for the highest quality.	labour-intensive, ripen, selectively
