# 中文意思	英文完整句子	填空词，最多3个
通货膨胀侵蚀了消费者的购买力，是各国中央银行关注的核心经济指标之一。	Inflation erodes the purchasing power of consumers and is one of the core economic indicators closely monitored by central banks around the world.	erodes, purchasing, monitored
国内生产总值是衡量一个国家经济活动总量和经济规模的最广泛使用的指标。	Gross domestic product is the most widely used indicator for measuring the total economic activity and the scale of an economy of a nation.	Gross, domestic, scale
失业率居高不下不仅使个人收入下降，还会导致社会不稳定和长期经济增长潜力减弱。	Persistently high unemployment not only reduces personal incomes but can also lead to social instability and diminish long-term economic growth potential.	Persistently, instability, diminish
自由贸易协定通过降低关税和非关税壁垒，促进了缔约国之间的商品和服务流动。	Free trade agreements promote the flow of goods and services between signatory countries by reducing tariffs and non-tariff barriers.	promote, tariffs, barriers
经济衰退通常被定义为连续两个季度的负增长，其特征是消费者信心下降和企业投资萎缩。	An economic recession is typically defined as two consecutive quarters of negative growth, characterised by falling consumer confidence and shrinking business investment.	recession, consecutive, characterised
垄断行为阻碍了市场公平竞争，可能导致价格提高、消费者选择和创新的减少。	Monopoly practices hinder fair market competition and may lead to higher prices and reduced consumer choice and innovation.	Monopoly, hinder, innovation
最低工资标准的提高旨在减少贫困和不平等，但其对就业的可能影响在经济学界存在相当大的争议。	Raising the minimum wage is intended to reduce poverty and inequality, but its potential impact on employment is the subject of considerable debate among economists.	intended, potential, debate
货币政策由中央银行通过调整利率和货币供应量来实施，目的是维持价格稳定和支持经济增长。	Monetary policy is implemented by central banks by adjusting interest rates and the money supply to maintain price stability and support economic growth.	Monetary, implemented, stability
全球供应链的断裂在疫情期间暴露出来，促使许多公司重新考虑其生产和采购的布局。	The disruption of global supply chains was exposed during the pandemic, prompting many companies to rethink the layout of their production and procurement.	disruption, prompting, procurement
创业精神被认为是创新和经济增长的关键动力，中小企业创造了大部分的就业机会。	Entrepreneurship is regarded as a key driver of innovation and economic growth, with small and medium-sized enterprises creating the majority of employment opportunities.	Entrepreneurship, innovation, enterprises
公共债务的持续攀升引发了对未来财政稳健性和政府偿债能力的担忧。	The continuous rise of public debt has raised concerns about future fiscal sustainability and the government's ability to service its obligations.	debt, fiscal, sustainability
经济不平等不仅指收入差距，还包括财富、教育、医疗等方面的多维不平等。	Economic inequality refers not only to income disparities but also to multidimensional inequalities in areas such as wealth, education, and healthcare.	inequality, disparities, wealth
数字货币和在线支付的兴起正在改变传统的金融体系，也引发了关于隐私和监管的激烈辩论。	The rise of digital currencies and online payments is transforming the traditional financial system, sparking vigorous debate about privacy and regulation.	currencies, transforming, vigorous
汇率波动直接影响国际贸易的竞争力和跨境资本流动的方向。	Exchange rate fluctuations directly affect the competitiveness of international trade and the direction of cross-border capital flows.	fluctuations, competitiveness, flows
劳动力市场需要适应技术进步带来的职业需求变化，政府应投资于再培训和技能提升项目。	The labour market needs to adapt to the changing occupational demands brought by technological progress, with governments investing in retraining and upskilling programmes.	adapt, occupational, upskilling
股市的剧烈波动往往反映投资者对经济前景的不确定性和市场情绪的变化。	Sharp volatility in the stock market often reflects investor uncertainty about the economic outlook and shifts in market sentiment.	volatility, reflects, sentiment
创新驱动型经济依赖于对研发的持续投入、强大的知识产权保护以及高质量的教育体系。	An innovation-driven economy depends on sustained investment in research and development, robust intellectual property protection, and a high-quality education system.	sustained, robust, intellectual
碳税是一种旨在通过提高化石燃料成本来减少温室气体排放的市场化政策工具。	A carbon tax is a market-based policy instrument designed to reduce greenhouse gas emissions by raising the cost of fossil fuels.	instrument, designed, raising
发展中国家面临的主要经济挑战包括吸引外资、改善基础设施和推动工业化进程。	The major economic challenges facing developing nations include attracting foreign investment, improving infrastructure, and advancing the process of industrialisation.	investment, infrastructure, advancing
价格弹性衡量消费者对商品价格变化的敏感程度，是企业制定定价策略时的重要参考。	Price elasticity measures the sensitivity of consumers to changes in the price of goods, serving as a crucial reference for businesses when formulating their pricing strategies.	elasticity, sensitivity, reference
经济制裁在国际政治中被广泛使用，但其实际效果和对平民的人道主义影响经常受到质疑。	Economic sanctions are widely used in international politics, but their actual effectiveness and humanitarian impact on civilians are frequently called into question.	sanctions, humanitarian, civilians
消费者支出是许多国家经济增长的主要驱动力，因此消费者信心指数被投资者和政策制定者密切关注。	Consumer spending is the primary driver of economic growth in many countries, and therefore the consumer confidence index is closely watched by investors and policymakers.	consumer, primary, closely
全球化使得资本、商品和劳动力快速跨境流动，创造了巨大财富的同时也加剧了一些国家的本土产业流失。	Globalisation has enabled the rapid cross-border flow of capital, goods, and labour, creating enormous wealth but also accelerating the loss of domestic industries in some countries.	enabled, accelerating, domestic
金融科技正在重塑银行业，移动支付、在线贷款和智能投顾等创新服务使金融服务更加便捷和全球化。	Financial technology is reshaping the banking industry, with innovative services such as mobile payments, online lending, and robo-advisory making financial services more accessible and global.	reshaping, innovative, accessible
基础设施投资不仅刺激短期需求，还在长期内通过降低运输和物流成本来提高经济的生产效率。	Infrastructure investment not only stimulates short-term demand but also enhances economic productivity in the long run by reducing transportation and logistics costs.	stimulates, enhances, logistics
经济危机的周期性爆发揭示了现代金融市场的内在不稳定性，推动了对更严格的金融监管的呼声。	The cyclical eruption of economic crises has revealed the inherent instability of modern financial markets, fueling calls for stricter financial regulation.	cyclical, inherent, fueling
人口红利指的是劳动年龄人口比例较高为经济增长带来的有利条件，但这一优势会随着人口老龄化而逐渐消退。	The demographic dividend refers to the favourable conditions for economic growth brought by a high proportion of working-age population, but this advantage gradually fades with population ageing.	demographic, dividend, proportion
贫富差距在经济繁荣时期往往扩大，因为资产价格的上涨主要惠及了已经拥有资产的富裕阶层。	The wealth gap tends to widen during periods of economic prosperity because rising asset prices primarily benefit the already-asset-rich segments of society.	widen, prosperity, primarily
绿色经济转型需要政府、企业和消费者之间的密切合作，通过技术创新和政策引导实现经济与环境的双赢。	The transition to a green economy requires close cooperation among governments, businesses, and consumers to achieve a win-win outcome for both the economy and the environment through technological innovation and policy guidance.	transition, cooperation, win-win
衡量一个国家的经济健康状况不能仅凭GDP，基尼系数和人类发展指数同样是重要的评估维度。	Measuring a country's economic health cannot rely solely on GDP; the Gini coefficient and the Human Development Index are equally important dimensions of assessment.	solely, coefficient, dimensions
财政政策是政府通过调整税收和公共支出来影响经济运行方向的重要手段。	Fiscal policy is a crucial instrument by which governments influence the direction of the economy through adjustments to taxation and public expenditure.	Fiscal, instrument, expenditure
国际贸易中的比较优势原理表明，各国应专注于生产其具有相对效率的领域的产品。	The principle of comparative advantage in international trade suggests that countries should specialise in producing goods in areas where they have relative efficiency.	comparative, advantage, specialise
房地产市场在家庭财富中占据核心地位，其波动对整个经济体系有着深远的影响。	The housing market occupies a central position in household wealth, and its fluctuations have profound implications for the entire economic system.	occupies, profound, implications
新冠疫情使全球经济陷入二战以来最严重的衰退，暴露了供应链过度集中于少数地区的巨大风险。	The pandemic plunged the global economy into its most severe recession since the Second World War, exposing the enormous risk of supply chains being overly concentrated in a handful of regions.	plunged, recession, concentrated
能源转型不仅仅是一个技术挑战，更是一个涉及劳动力转移、社会公平和地缘政治格局变动的重大经济课题。	The energy transition is not merely a technological challenge but a major economic issue involving workforce displacement, social equity, and shifts in the geopolitical landscape.	merely, displacement, geopolitical
风险投资在为高科技初创企业提供资金支持方面发挥着关键作用，是创新生态系统的重要组成。	Venture capital plays a key role in providing funding support for high-tech start-ups, serving as a vital component of the innovation ecosystem.	Venture, component, ecosystem
经济作物的大规模商业种植为一些国家赚取了宝贵的外汇，但如果管理不善可能导致粮食安全的削弱。	Large-scale commercial cultivation of cash crops earns valuable foreign exchange for some countries but may undermine food security if not properly managed.	cash, exchange, undermine
中小企业在创造就业方面贡献巨大，然而它们在融资、市场准入和技术获得方面常处于弱势。	Small and medium-sized enterprises contribute enormously to job creation, yet they are often in a disadvantaged position when it comes to financing, market access, and technology acquisition.	enormously, disadvantaged, acquisition
数字经济的崛起使数据成为新的生产要素，企业之间的竞争越来越围绕数据的采集和使用展开。	The rise of the digital economy has turned data into a new factor of production, with competition among enterprises increasingly revolving around data collection and usage.	factor, increasingly, revolving
基础利率的调整对购房贷款、信用卡利率和企业投资决策产生广泛且深远的影响。	Adjustments to the base interest rate have broad and far-reaching implications for mortgage loans, credit card rates, and business investment decisions.	broad, far-reaching, mortgage
