# 中文意思	英文完整句子	填空词，最多3个
文化价值观深刻地塑造了人们对家庭、工作和社区责任的理解和履行方式。	Cultural values profoundly shape how people understand and fulfil their responsibilities towards family, work, and community.	profoundly, fulfil, responsibilities
个人主义强调个人自主和自力更生，通常与西方社会联系在一起，并深刻地影响了其法律和经济制度。	Individualism emphasises personal autonomy and self-reliance, and is commonly associated with Western societies, profoundly influencing their legal and economic institutions.	autonomy, self-reliance, profoundly
集体主义文化将群体和谐与相互依存置于个人成就之上，这在许多东亚社会的社会结构中普遍存在。	Collectivist cultures prioritise group harmony and interdependence over individual achievement, a pattern prevalent across many East Asian social structures.	harmony, interdependence, prevalent
正直意味着即使在没有人注视的情况下、在面对巨大诱惑或压力时，依然坚持道德原则。	Integrity means adhering to moral principles even when no one is watching and in the face of significant temptation or pressure.	adhering, temptation, pressure
同理心是道德推理的基石，它使我们能够理解并分享他人的感受，并激励我们去采取利他行为。	Empathy is a cornerstone of moral reasoning, enabling us to understand and share the feelings of others and motivating altruistic behaviour.	reasoning, motivating, altruistic
文化相对主义认为，道德价值观并非放之四海而皆准的绝对真理，必须在其所属的文化和历史背景下来理解和评估。	Cultural relativism holds that moral values are not universal absolutes but must be understood and evaluated within their specific cultural and historical contexts.	absolutes, evaluated, contexts
尊重多样性不仅仅意味着容忍差异，而是要积极寻求并珍视不同观点、背景和经历所带来的价值。	Respecting diversity means more than merely tolerating differences; it involves actively seeking and valuing the perspectives, backgrounds, and experiences of others.	merely, tolerating, perspectives
代际价值观的断裂通常发生在技术快速变革或社会规范激烈转变的时期，其时年轻一代采用了与其长辈截然不同的核心信念。	Generational value gaps typically emerge during periods of rapid technological change or dramatic shifts in social norms, when younger generations adopt fundamentally different core beliefs from their elders.	emerge, dramatic, fundamentally
坚韧不拔是世界上几乎所有主要精神传统中所共有的美德，它教会我们通过内在的力量和耐心去承受并超越生活中的考验与苦难。	Resilience is a virtue shared across virtually all major spiritual traditions, teaching us to endure and transcend life's trials and suffering through inner strength and patience.	virtue, endure, transcend
真实性在现代文化中被高度崇尚，人们被鼓励去发现真实的自我并据此真诚地生活，尽管实现这一理想可能是一项伴随终生的艰巨挑战。	Authenticity is highly prized in modern culture, with individuals encouraged to discover their true selves and live accordingly, though actualising this ideal can prove a formidable lifelong challenge.	prized, actualising, formidable
言论自由在民主社会中被视为一项基本价值，但在其保护边界的问题上，例如仇恨言论是否应被允许，存在着非常激烈的辩论。	Freedom of expression is regarded as a foundational value in democratic societies, but intense debate persists over where its boundaries lie, such as whether hate speech should be protected.	regarded, boundaries, persists
功绩主义是一种信念，即个人应该根据其才能和努力程度而不是家庭出身或背景来获得奖励和晋升。	Meritocracy is the belief that individuals should be rewarded and advanced based on their talent and effort rather than their family origins or social background.	rewarded, effort, origins
正义的核心在于公平，但它也要求检查造成现状的历史不公正，并确定是否应该采取措施来纠正这些历史性的结构缺陷。	Justice centres on fairness, but it also demands an examination of historical injustices that shape the present and a determination of whether measures should be taken to rectify those structural legacies.	centres, examination, rectify
感恩被心理学研究证实为与更高的生活满意度和心理健康水平相关，它是一种对过去和现在生活中的好的事物保持有意识感谢的实践。	Gratitude is empirically linked to greater life satisfaction and psychological well-being, representing a conscious practice of acknowledging the goodness in one's life, both past and present.	empirically, acknowledging, goodness
人类尊严是国际人权框架的道德基础，它宣称每个人天生具有不可侵犯的内在价值，这种价值必须受到无条件的保护。	Human dignity is the moral foundation of the international human rights framework, asserting that every person possesses an inherent and inviolable worth that must be unconditionally protected.	asserting, inherent, inviolable
知行合一是中国古代哲学特别是王阳明心学中的核心教导，强调道德知识必须转化为实际行动才能算作真实的理解。	The unity of knowledge and action is a central teaching in classical Chinese philosophy, particularly in Wang Yangming's school, emphasising that moral knowledge must translate into concrete action to be considered genuine understanding.	unity, translate, genuine
公民参与不仅仅是投票，还包括参加社区会议、支持地方组织以及通过和平抗议和网络请愿来要求追责。	Civic engagement extends beyond voting to include attending community meetings, supporting local organisations, and demanding accountability through peaceful protest and online petitions.	extends, accountability, petitions
环境管理责任是一种信念，即当代人有道德义务为了子孙后代的利益来保护和维护地球的生态系统和生物多样性。	Environmental stewardship is the conviction that current generations have a moral obligation to protect and preserve the planet's ecosystems and biodiversity for the benefit of future generations.	conviction, preserve, biodiversity
谦逊被认为是一种跨越文化和信仰传统的普遍美德，它要求我们意识到自己的局限性并对他人的观点保持开放的心态。	Humility is regarded as a universal virtue across cultural and faith traditions, requiring an awareness of one's own limitations and an openness to the perspectives of others.	regarded, awareness, openness
同情心和利他主义行为在危机时期显著增加，这表明人类即使在最具挑战性的环境中也具有一种与生俱来的关心他人福祉的能力。	Compassion and altruistic behaviour increase markedly during times of crisis, suggesting that humans have an innate capacity for caring deeply about the welfare of others, even in the most challenging circumstances.	markedly, innate, welfare
