# 中文意思	英文完整句子	填空词，最多3个
语言不仅是交流的工具，更是文化的载体和思维方式的塑造者。	Language is not merely a tool for communication but also a carrier of culture and a shaper of ways of thinking.	merely, carrier, shaper
掌握一门外语需要长期持续的沉浸式学习，词汇、语法规则和文化背景三者缺一不可。	Mastering a foreign language requires prolonged and sustained immersive learning, with vocabulary, grammatical rules, and cultural context all being indispensable.	prolonged, sustained, immersive
双语者的认知灵活性在执行控制任务中通常优于单语者，这种优势体现在注意力切换和排除干扰的能力上。	Bilinguals generally outperform monolinguals in executive control tasks, an advantage reflected in their ability to switch attention and suppress interference.	Bilinguals, outperform, suppress
俚语和习语是语言的色彩，但它们的文化独特性使得翻译工作变成一个需要高度创意的过程。	Slang and idioms are the colour of a language, but their cultural specificity makes translation a process that requires a high degree of creativity.	Slang, idioms, creativity
语言随着时间不断演变，新词汇被引进、旧词汇被遗忘，语法规则也缓慢发生着变化。	Language evolves continuously over time, with new words being introduced, old ones being forgotten, and grammatical rules slowly undergoing change.	evolves, introduced, undergoing
手语同样是一种具有完整语法结构和丰富表现力的自然语言，而非简单的口语手势替代品。	Sign language is likewise a natural language with a complete grammatical structure and rich expressiveness, rather than being a mere gestural substitute for spoken language.	likewise, substitute
口译员需要在信息被口头表达出来的瞬间即时对两种语言进行转换，这需要极高的专注力和强大的短期记忆。	Interpreters need to convert between two languages instantly as the message is being verbally expressed, requiring an exceptionally high degree of concentration and a powerful short-term memory.	Interpreters, instantly, concentration
在跨文化商务谈判中，语言隔阂有时只是表面障碍，真正的困难在于理解对方的商业文化和价值预设。	In cross-cultural business negotiations, the language barrier is sometimes only a superficial obstacle, and the real difficulty lies in understanding the other party's business culture and value assumptions.	superficial, obstacle, assumptions
婴幼儿的母语习得是一个自然神奇的过程，他们的大脑在出生后几年对语音的分辨能力远超成人。	The first-language acquisition of infants and toddlers is a naturally miraculous process, and in the years after birth their brains far surpass those of adults in the capacity to discriminate speech sounds.	acquisition, surpass, discriminate
修辞手法是公共演讲中打动听众、传递信念的重要武器，其中比喻和排比是最有效的两种形式。	Rhetorical devices are important weapons for moving audiences and conveying conviction in public speaking, with metaphor and parallelism being two of the most effective forms.	Rhetorical, metaphor, parallelism
文字的产生是人类文明史上的重大里程碑，它使得知识能够在跨越时空的维度上被记录和传播。	The invention of writing was a major milestone in the history of human civilisation, enabling knowledge to be recorded and disseminated across the dimensions of space and time.	milestone, dimensions
社会媒体时代的到来极大削弱了传统媒体对信息议程的垄断，每个人都可以成为信息发布者，但同时也加剧了后真相的泛滥。	The advent of the social media era has tremendously weakened the monopoly of traditional media on the information agenda, enabling everyone to become a publisher of information but also exacerbating the proliferation of post-truth.	monopoly, publisher, post-truth
