# 中文意思	英文完整句子	填空词，最多3个
定期锻炼和均衡饮食是保持身心健康和降低患慢性疾病风险的基石。	Regular exercise and a balanced diet are the cornerstones of maintaining physical and mental well-being and reducing the risk of chronic diseases.	cornerstones, chronic
免疫系统是人体抵御病原体入侵的主要防线，其功能受多种生活方式因素影响。	The immune system serves as the body's primary defence against invading pathogens, and its function is influenced by numerous lifestyle factors.	immune, pathogens, influenced
高血压常常被称为沉默的杀手，因为它在导致严重并发症之前通常没有明显的症状。	Hypertension is often referred to as a silent killer because it typically presents no noticeable symptoms before leading to severe complications.	Hypertension, referred, complications
肥胖率在全球范围内显著上升，这与久坐的生活方式和加工食品消费的增加密切相关。	Obesity rates have risen dramatically on a global scale, a trend closely linked to sedentary lifestyles and the increased consumption of processed foods.	Obesity, sedentary, processed
预防医学强调通过接种疫苗、定期检查和在早期阶段干预危险行为来减少疾病的发生。	Preventive medicine emphasises reducing the incidence of disease through vaccination, regular screening, and the early intervention of risky behaviours.	Preventive, screening, intervention
精神健康与身体健康同样重要，但社会对精神疾病的偏见和歧视仍然阻碍着许多人寻求帮助。	Mental health is as important as physical health, yet social stigma and discrimination surrounding mental illness still prevent many people from seeking help.	stigma, discrimination, prevent
抗生素耐药性是一个日益严峻的全球健康威胁，部分原因在于抗生素在农业和医疗中的过度和不当使用。	Antibiotic resistance is an increasingly severe global health threat, driven in part by the overuse and inappropriate use of antibiotics in both agriculture and medicine.	Antibiotic, resistance, overuse
流行病学的研究揭示，吸烟与肺癌之间存在明确的因果关联，这推动了全球范围内的控烟政策。	Epidemiological research has revealed a definitive causal link between smoking and lung cancer, which has driven tobacco-control policies across the globe.	Epidemiological, definitive, tobacco
全民医保是许多国家追求的目标，旨在确保所有公民无论收入如何都能获得必要的医疗服务。	Universal health coverage is a goal pursued by many nations, aiming to ensure that all citizens have access to essential medical services regardless of their income.	Universal, essential, regardless
睡眠不足不仅损害认知功能和情绪稳定性，还与心血管疾病和免疫功能下降有显著关联。	Sleep deprivation not only impairs cognitive function and emotional stability but is also significantly associated with cardiovascular disease and diminished immune function.	deprivation, impairs, diminished
糖尿病的管理不仅依赖于药物治疗，高效的控制还需要患者对饮食、运动和自我监测有深刻的理解。	The management of diabetes relies not only on medication but also requires patients to have a profound understanding of diet, exercise, and self-monitoring for effective control.	relies, profound, self-monitoring
过去一个世纪，人类预期寿命的显著提高主要归功于清洁饮用水、接种疫苗和卫生设施的改善。	The dramatic increase in human life expectancy over the past century is primarily attributed to the improvements in clean drinking water, vaccination, and sanitation.	attributed, vaccination, sanitation
营养学领域的研究表明，富含植物性食物的饮食模式有助于减轻炎症和降低慢性病风险。	Research in the field of nutrition indicates that dietary patterns rich in plant-based foods can help reduce inflammation and lower the risk of chronic diseases.	nutrition, inflammation, chronic
空气污染不仅是环境问题，更是严峻的公共卫生问题，它直接导致呼吸系统疾病和心血管疾病的激增。	Air pollution is not merely an environmental problem but a severe public health issue, directly causing a surge in respiratory and cardiovascular diseases.	merely, severe, surge
基因检测的日益普及为个性化医疗创造了条件，但也带来了隐私和基因歧视等新的伦理难题。	The growing accessibility of genetic testing has created conditions for personalised medicine but also raises new ethical dilemmas concerning privacy and genetic discrimination.	accessibility, dilemmas, genetic
社区卫生工作者在普及基本医疗知识、连接偏远地区患者与医疗系统方面发挥着不可替代的桥梁作用。	Community health workers play an irreplaceable bridging role in disseminating basic medical knowledge and linking patients in remote areas to the healthcare system.	irreplaceable, disseminating, remote
康复治疗旨在帮助患者恢复功能、减少残疾和回归社会，是医疗体系中不可或缺的组成部分。	Rehabilitation therapy aims to help patients restore function, reduce disability, and reintegrate into society, forming an indispensable component of the healthcare system.	Rehabilitation, restore, indispensable
压力是身体对挑战的生理反应，但长期慢性压力可导致焦虑、抑郁和心血管问题。	Stress is the body's physiological response to challenges, but long-term chronic stress can lead to anxiety, depression, and cardiovascular problems.	physiological, chronic, depression
