# 中文意思	英文完整句子	填空词，最多3个
公共交通系统的完善对于减少城市拥堵和降低碳排放总量起着决定性作用。	The improvement of public transport systems plays a decisive role in reducing urban congestion and lowering total carbon emissions.	congestion, decisive, emissions
电动汽车的推广依赖于充电桩网络的大规模建设以及电池技术成本的持续下降。	The adoption of electric vehicles depends on the large-scale construction of charging networks and the continuous decline in battery technology costs.	adoption, charging, decline
高铁网络的建设大幅缩短了城市之间的旅行时间，促进了区域经济的融合。	The construction of high-speed rail networks has dramatically shortened travel time between cities and accelerated the integration of regional economies.	dramatically, shortened, integration
航空旅行使人们能够在数小时内横跨大洲，但它也是增长最快的碳排放源之一。	Air travel enables people to cross continents within a matter of hours, but it is also one of the fastest-growing sources of carbon emissions.	continents, sources
自行车道和行人友好街道的建设不仅能缓解交通压力，还对公共卫生和环境有益。	The construction of bicycle lanes and pedestrian-friendly streets can not only relieve traffic pressure but also benefit public health and the environment.	relieve, pressure, benefit
海运是国际贸易的支柱，全球百分之八十以上的商品贸易量通过海运完成。	Maritime shipping is the backbone of international trade, with over eighty per cent of the global volume of merchandise trade being transported by sea.	backbone, volume, merchandise
道路交通事故每年造成大量伤亡，是导致青年人死亡的主要原因之一。	Road traffic accidents cause a large number of casualties each year and are one of the leading causes of death among young people.	casualties, leading, among
物流行业的数字化通过实时追踪、路线优化和自动化仓储大幅提升了效率。	The digitalisation of the logistics industry has substantially boosted efficiency through real-time tracking, route optimisation, and automated warehousing.	digitalisation, substantially, warehousing
交通拥堵费是伦敦、新加坡等城市采用的经济管理手段，以减少高峰时段进入市中心的车辆数量。	Congestion charging is an economic management measure adopted by cities such as London and Singapore to reduce the number of vehicles entering the city centre during peak hours.	Congestion, measure, peak
共享出行服务改变了人们的出行习惯，但其对城市拥堵的实际改善效果仍存在争议。	Shared mobility services have changed people's travel habits, but their actual effectiveness in alleviating urban congestion remains a subject of debate.	mobility, actual, debate
港口和机场的扩建对于满足日益增长的贸易和旅游需求至关重要，但往往面临环保团体和当地居民的反对。	The expansion of ports and airports is crucial for meeting the growing demands of trade and tourism, yet it often faces opposition from environmental groups and local residents.	expansion, crucial, opposition
地铁系统在大城市的地下密集运行，每天将数百万通勤者高效地送达工作地点。	Subway systems operate intensively beneath large cities, efficiently transporting millions of commuters to their workplaces every day.	intensively, efficiently, commuters
随着自主驾驶技术的逐步成熟，相关法律法规和道路基础设施也需要同步更新。	As autonomous driving technology gradually matures, the relevant laws, regulations, and road infrastructure will need to be updated simultaneously.	autonomous, matures, simultaneously
城市货运的最后一公里配送是效率最低且成本最高的环节，各种创新方案正在被测试。	The last-mile delivery of urban freight is the least efficient and most costly link in the chain, with various innovative solutions currently being trialled.	last-mile, chain, trialled
全球化所带来的廉价航空出行和跨境铁路使长途旅行从中产阶级的奢侈品变为大众消费品。	Globalisation has brought cheap air travel and cross-border railways, transforming long-distance travel from a middle-class luxury into a mass consumption product.	transforming, luxury, mass
超音速客机的研发在过去因安全及运营成本问题被搁置，但在新材料的推动下再次成为可能。	The development of supersonic passenger jets was shelved in the past due to safety and operational cost issues but is now becoming feasible again with the impetus of new materials.	supersonic, shelved, impetus
交通规划应当将环境可持续性、社会公平和经济效率三个目标结合统一考虑。	Transport planning should consider the three objectives of environmental sustainability, social equity, and economic efficiency in a unified manner.	sustainability, equity, unified
货物运输道路上的卡车所排放的尾气中含有大量的颗粒物和氮氧化物。	Trucks on freight routes emit exhaust that contains large amounts of particulate matter and nitrogen oxides.	freight, exhaust, particulate
在人口密集的城市，机动车专用道路常分割社区，破坏居民原有的社会交往空间。	In densely populated cities, motor-vehicle-only roads often divide communities and destroy the original social interaction spaces of residents.	densely, divide, interaction
磁悬浮技术利用强大的磁场使列车在轨道上方悬浮，大幅消除了摩擦阻力。	Maglev technology uses powerful magnetic fields to suspend the train above the track, substantially eliminating frictional resistance.	Maglev, suspend, eliminating
船舶燃油中含硫物质的燃烧是沿海和港口城市空气污染的一个主要来源。	The combustion of sulphur content in ship fuel is a major source of air pollution for coastal and port cities.	combustion, sulphur, coastal
城市需要提供安全便利的交通方式以保障长者及行动不便者的社会活动和医疗就诊出行。	Cities need to provide safe and convenient transport options to ensure the social participation and medical access trips of the elderly and those with limited mobility.	ensure, participation, access
未来的交通模式很可能从私人拥有汽车过渡到机器人出租车和按需出行服务。	The future mobility paradigm is likely to transition from private car ownership to robotaxis and on-demand mobility services.	paradigm, transition, on-demand
大货车超载对公路路基造成的损害远大于普通私家车，这也是计重收费政策制定的初衷。	Overloading by heavy trucks causes far greater damage to road foundations than ordinary private cars, which was the original intention behind the formulation of weight-based toll policies.	Overloading, foundations, formulation
交通信号灯通过协调相位和智能算法，可以在繁忙的交叉路口显著减少等待时间。	Traffic signals, through coordinated phasing and intelligent algorithms, can significantly reduce waiting times at busy intersections.	coordinated, algorithms, intersections
在现代城市中，寻找停车位所浪费的时间和燃油，已成为城市交通效率低下的一个主要因素。	The time and fuel wasted in searching for a parking space in modern cities has become a major factor in the inefficiency of urban traffic.	fuel, factor, inefficiency
