# 中文意思	英文完整句子	填空词，最多3个
久坐不动的生活方式已成为一个主要的公共健康问题，导致了肥胖和心血管疾病的上升。	A sedentary lifestyle has become a major public health concern, contributing to the rise of obesity and cardiovascular disease.	sedentary, contributing, cardiovascular
政府应优先考虑预防保健，以减轻治疗已处于晚期的可预防疾病的医疗系统负担。	Governments should prioritise preventive healthcare to reduce the burden on medical systems treating preventable diseases at advanced stages.	prioritise, burden, preventable
精神健康问题日益受到主流关注，减少了污名化，并鼓励更多人寻求帮助。	Mental health issues are increasingly receiving mainstream attention, reducing stigma and encouraging more people to seek help.	mainstream, stigma, seek
全民医疗覆盖确保所有公民无论其经济状况如何都能获得必要的医疗服务。	Universal healthcare coverage ensures that all citizens have access to essential medical services regardless of their financial situation.	coverage, essential, regardless
加工食品的普及导致添加糖和不健康脂肪的过度消费，从而加剧了肥胖危机。	The prevalence of processed food has led to the excessive consumption of added sugars and unhealthy fats, fueling the obesity epidemic.	prevalence, excessive, fueling
定期进行体育锻炼可以显著降低患慢性病的风险，并改善整体健康状况。	Engaging in regular physical activity can significantly lower the risk of developing chronic diseases and improve overall wellbeing.	significantly, chronic, wellbeing
疫苗犹豫已成为全球健康威胁，部分原因是在社交媒体上传播的错误信息。	Vaccine hesitancy has emerged as a global health threat, partly driven by misinformation spreading on social media platforms.	hesitancy, misinformation, platforms
空气污染与呼吸系统疾病、心脏病和全球数百万过早死亡密切相关。	Air pollution has been closely linked to respiratory illnesses, heart disease, and millions of premature deaths worldwide.	linked, premature, worldwide
抗生素耐药性是一个日益严重的危机，可能使常规手术和轻微感染再次危及生命。	Antibiotic resistance is a growing crisis that could make routine surgeries and minor infections life-threatening once again.	resistance, routine, life-threatening
发展中国家的营养不良仍然是导致儿童死亡和不良发育结果的主要原因。	Malnutrition in developing countries remains a leading cause of child mortality and poor developmental outcomes.	Malnutrition, mortality, developmental
许多国家的老龄化人口给医疗系统和养老金计划带来了巨大压力。	An ageing population in many countries is putting enormous strain on healthcare systems and pension schemes.	ageing, strain, schemes
公共卫生运动在降低吸烟率方面发挥了关键作用，通过教育公众了解相关风险。	Public health campaigns have played a key role in reducing smoking rates by educating the public about the associated risks.	campaigns, reducing, educating
充足睡眠对免疫功能、心理表现和长期健康至关重要，但往往被低估。	Adequate sleep is essential for immune function, mental performance, and long-term health, yet it is often undervalued.	Adequate, essential, undervalued
医疗技术的进步显著提高了诊断准确性并实现了个性化治疗方案。	Medical technology advancements have significantly improved diagnostic accuracy and enabled personalised treatment plans.	diagnostic, enabled, personalised
过度饮酒和滥用药物给个人和社会带来了沉重的健康和社会经济代价。	Excessive alcohol consumption and substance abuse impose a heavy toll on both individual health and the wider socioeconomic fabric.	impose, toll, fabric
在一些偏远地区，缺乏清洁饮用水和卫生设施导致了水媒疾病的持续爆发。	Lack of access to clean water and sanitation in some remote areas leads to persistent outbreaks of waterborne diseases.	sanitation, persistent, waterborne
压力相关的疾病在工作场所日益普遍，促使公司推行健康计划。	Stress-related illnesses are becoming increasingly prevalent in the workplace, prompting companies to introduce wellness programmes.	prevalent, prompting, wellness
健康饮食应包含多种营养丰富的食物，限制加工零食和含糖饮料。	A healthy diet should incorporate a variety of nutrient-rich foods while limiting processed snacks and sugary beverages.	incorporate, nutrient-rich, limiting
缺乏身体活动现在被认为是全球第四大死亡风险因素。	Physical inactivity is now recognised as the fourth leading risk factor for mortality worldwide.	inactivity, recognised, mortality
政府针对含糖饮料征收糖税，以抑制过度消费并为健康项目筹集资金。	Governments have imposed sugar taxes on sweetened beverages to discourage excessive consumption and raise funds for health programmes.	imposed, discourage, funds
医学研究需要更平衡的性别代表，因为许多治疗方法基于主要针对男性受试者进行的研究。	Medical research requires more balanced gender representation, as many treatments are based on studies conducted predominantly on male subjects.	representation, conducted, predominantly
在发生自然灾害或流行病后，恢复医疗基础设施对于防止继发性健康危机至关重要。	Restoring healthcare infrastructure after natural disasters or epidemics is crucial for preventing secondary health crises.	Restoring, crucial, crises
传统医学仍然是发展中国家数百万人初级保健的主要来源。	Traditional medicine remains the primary source of healthcare for millions of people in developing countries.	primary, source, developing
工作与生活的平衡对于维持长期的身心健康以及防止职业倦怠至关重要。	Work-life balance is essential for maintaining long-term physical and mental health and preventing burnout.	balance, essential, burnout
公共卫生当局必须迅速采取行动，以遏制传染病的传播，并通过接触者追踪和隔离措施加以防控。	Public health authorities must act swiftly to contain the spread of infectious diseases through contact tracing and quarantine measures.	swiftly, contain, quarantine
