# 中文意思	英文完整句子	填空词，最多3个
司法独立是法治的基石，确保法官在不受外部政治或商业压力的情况下公正地审理案件。	Judicial independence is the cornerstone of the rule of law, ensuring that judges adjudicate cases impartially without external political or commercial pressure.	Judicial, cornerstone, adjudicate
刑事司法体系的核心目标是在惩罚犯罪者、改造罪犯和保护公众安全之间寻求合理的平衡。	The core objective of the criminal justice system is to strike a reasonable balance between punishing offenders, rehabilitating criminals, and protecting public safety.	reasonable, rehabilitating, criminals
网络犯罪日益复杂，跨国黑客攻击、身份盗窃和网络欺诈等问题给执法机关带来了全新挑战。	Cybercrime is becoming increasingly sophisticated, with issues such as transnational hacking, identity theft, and online fraud posing entirely new challenges for law enforcement agencies.	sophisticated, transnational, agencies
死刑的存废在全世界范围内一直存在激烈的伦理和法律争论，涉及误判风险和生命权等多个维度。	The retention or abolition of the death penalty has long been the subject of heated ethical and legal debate worldwide, touching on multiple dimensions including the risk of wrongful conviction and the right to life.	retention, abolition, dimensions
无罪推定是现代刑事诉讼的一项基本原则，要求控方以足够的证据在排除合理怀疑的标准下证明被告有罪。	The presumption of innocence is a fundamental principle of modern criminal procedure, requiring the prosecution to prove the guilt of the accused to the standard of beyond reasonable doubt.	presumption, innocence, prosecution
法律援助为无力负担律师费的贫困群体提供了寻求司法公正的渠道，是司法平等的兜底保障。	Legal aid provides a channel for impoverished groups who cannot afford a lawyer to seek judicial justice, serving as the safety-net guarantee of judicial equality.	impoverished, channel, guarantee
青少年犯罪率受到家庭环境、教育背景、同辈影响和社会经济状况等多重因素的综合作用。	The juvenile delinquency rate is influenced by the combined effect of multiple factors including family environment, educational background, peer influence, and socioeconomic status.	juvenile, delinquency, peer
有组织犯罪通过洗钱、贿赂和暴力等手段渗入合法经济活动，对国家和地区的稳定构成严重威胁。	Organised crime infiltrates legitimate economic activities through money laundering, bribery, and violence, posing a severe threat to the stability of nations and regions.	infiltrates, laundering, posing
证人保护计划在刑事诉讼中对于确保证人安全和鼓励出庭作证起着至关重要的作用。	Witness protection programmes play a crucially important role in ensuring the safety of witnesses and encouraging their testimony in criminal proceedings.	programmes, testimony, proceedings
法律与道德之间既有重叠也有区别，并非所有不道德的行为都违法，反之亦然。	There is both overlap and distinction between law and morality, and not all immoral behaviour is illegal, nor is the converse always true.	overlap, distinction, immoral
社会上关于禁烟立法的辩论，反映了立法者权衡公共健康与个人自由的矛盾。	The societal debate over anti-smoking legislation reflects the dilemma faced by lawmakers in balancing public health against individual freedom.	dilemma, lawmakers, balancing
取证过程必须严格遵循程序正义原则，通过非法手段获取的证据在法庭上通常不予采纳。	The process of evidence collection must strictly follow the principle of procedural justice, and evidence obtained through illegal means is generally inadmissible in court.	procedural, obtained, inadmissible
在量刑阶段，法官需要综合考虑犯罪的严重性、被告的悔过表现、以及是否存在从轻或从重的情节。	In the sentencing phase, the judge needs to comprehensively consider the severity of the crime, the defendant's expression of remorse, and whether there are any mitigating or aggravating circumstances.	sentencing, remorse, aggravating
家庭暴力长期被忽视和掩盖，许多受害者在沉默中忍受多年，直到近年社会对此的零容忍呼声才日益高涨。	Domestic violence has long been ignored and concealed, with many victims suffering in silence for years, until recent years when calls for zero tolerance have been growing increasingly loud.	concealed, victims, tolerance
国际刑事法院旨在起诉犯有种族灭绝、反人类罪和战争罪的个人，但由于其权力有限和部分大国的不配合，其有效性备受掣肘。	The International Criminal Court aims to prosecute individuals responsible for genocide, crimes against humanity, and war crimes, but its effectiveness is highly constrained by its limited power and the non-cooperation of some major powers.	prosecute, genocide, constrained
知识产权的法律框架在于通过授予创作者一定期限的独占权，来激励创新和文化繁荣。	The legal framework of intellectual property is designed to incentivise innovation and cultural flourishing by granting creators exclusive rights for a limited period of time.	intellectual, incentive, exclusive
威慑与改造是刑罚理论中的两个主要目标，偏重惩罚还是偏重复归社会是一个持续争论的核心议题。	Deterrence and rehabilitation are two major objectives in the theory of punishment, and whether to place more emphasis on retribution or on reintegration into society is a core and continuous point of debate.	Deterrence, rehabilitation, reintegration
司法不公一旦发生，其纠正的代价和社会信任的修复都极其困难，因此预防错案比纠正错案更为关键。	Once a miscarriage of justice occurs, the cost of rectifying it and restoring social trust is extremely high, so preventing wrongful convictions is even more crucial than correcting them.	miscarriage, rectifying, crucial
商业合同的订立、解释和履行构成了经济生活的基本法律基础，违约的救济是商业信心的保障。	The formation, interpretation, and performance of commercial contracts constitute the fundamental legal basis of economic life, and remedies for breach of contract are the guarantee of commercial confidence.	interpretation, remedies, breach
死刑执行方式的演变从斩首、绞刑到注射死刑，反映了社会对减少受刑者痛苦的人道考虑和自我形象的修饰。	The evolution of execution methods for the death penalty, from beheading and hanging to lethal injection, reflects society's humanitarian concern for reducing the suffering of the condemned and the polishing of its self-image.	evolution, humanitarian, polishing
社会对未成年犯罪记录进行封存，主要目的是给予改过的青少年一个不被过往标签羁绊的未来。	The sealing of juvenile criminal records is primarily intended to give reformed youth a future unencumbered by the stigma of their past.	sealing, unencumbered, stigma
洗钱犯罪通过复杂的跨国金融交易将非法所得伪装成合法来源，对全球金融体系的公正性构成重大挑战。	Money laundering disguises illegal proceeds as legitimate sources through complex transnational financial transactions, posing a major challenge to the integrity of the global financial system.	disguises, proceeds, integrity
警察在执法中对武力的使用应有明确的法规约束和严格的监督，过度使用武力会严重破坏公众对执法机关的信任。	The use of force by police in law enforcement should be subject to clear legal constraints and rigorous oversight, as excessive force can severely undermine public trust in the authorities.	subject, constraints, undermine
在环境公益诉讼中，个人和非政府组织越来越积极地将污染者告上法庭，寻求赔偿和生态恢复的判决。	In environmental public-interest litigation, individuals and NGOs are increasingly proactive in taking polluters to court, seeking compensation and rulings for ecological restoration.	litigation, proactive, compensation
监禁率的持续攀升给许多国家的财政带来了沉重负担，如何减少累犯是改革的重中之重。	The continuous rise in incarceration rates has placed a heavy fiscal burden on many countries, and how to reduce recidivism is the top priority of reform.	incarceration, fiscal, recidivism
在国际法层面，海洋边界的划界和海上航道的权利一直是引发国家间争端的常见起因。	At the level of international law, the delimitation of maritime boundaries and the rights to sea lanes have been common causes sparking disputes between nations.	delimitation, lanes, disputes
反歧视法律在保护少数群体和促进社会公平方面发挥了关键作用，但其执行的效果很大程度上取决于社会意识的转变。	Anti-discrimination laws play a key role in protecting minorities and promoting social equity, but their effectiveness in practice depends heavily on the transformation of social consciousness.	minorities, equity, consciousness
目击者证词虽然常被认为极具说服力，但心理学研究显示其出错率可能高得惊人。	Eyewitness testimony, though often regarded as highly persuasive, has been shown by psychological research to have an alarmingly high rate of error.	testimony, persuasive, alarmingly
合理怀疑是刑事案件中判定有罪的高标准，它要求陪审团对被告的罪行没有合乎常理的任何怀疑。	Reasonable doubt is the high standard for a guilty verdict in a criminal case, requiring the jury to have no doubt of the defendant's guilt that would be reasonable under the circumstances.	verdict, jury, circumstances
监狱的目标除了惩罚和隔离，更根本的在于改造，但许多监狱因过度拥挤和资源匮乏沦为纯粹监禁的场所。	The goal of prisons, apart from punishment and incapacitation, is more fundamentally rehabilitation, but many prisons have degenerated into mere containment facilities due to overcrowding and a lack of resources.	incapacitation, containment, overcrowding
随着数字资产和区块链交易的增多，涉及到虚拟货币的诈骗和盗窃案件对法律界构成了全新的挑战。	With the proliferation of digital assets and blockchain transactions, cases of fraud and theft involving virtual currencies pose an entirely new challenge for the legal profession.	proliferation, virtual, profession
