# 中文意思	英文完整句子	填空词，最多3个
职业规划是一个持续的过程，需要个人根据自身兴趣、能力和市场趋势不断做出调整。	Career planning is an ongoing process that requires individuals to continuously make adjustments based on their interests, abilities, and market trends.	ongoing, adjustments, trends
工作与生活的平衡已成为现代职场人最关注的问题之一，过度加班会导致倦怠和家庭关系紧张。	Work-life balance has become one of the most pressing concerns for modern professionals, as excessive overtime can lead to burnout and strained family relationships.	pressing, burnout, strained
实习经验不仅帮助学生将理论知识应用于实践，还能让他们在毕业前建立宝贵的职业人脉。	Internship experience not only helps students apply theoretical knowledge to practice but also allows them to build valuable professional connections before graduation.	Internship, theoretical, connections
兼职工作为学生和低收入家庭提供了重要的补充收入，但缺乏劳动保障是普遍存在的问题。	Part-time employment provides an important supplementary income for students and low-income families, yet the lack of labour protections remains a widespread concern.	supplementary, widespread
职场中的性别歧视和不平等仍然广泛存在，女性在薪酬和晋升方面面临着有形的玻璃天花板。	Gender discrimination and inequality in the workplace remain widespread, with women facing a tangible glass ceiling in terms of pay and career advancement.	discrimination, tangible, advancement
弹性工作制度包括远程办公和弹性工时，有助于提高员工满意度和减少公司办公成本。	Flexible working arrangements, including remote work and flexible hours, help enhance employee satisfaction and reduce corporate office expenses.	Flexible, arrangements, enhance
领导力不仅仅是管理技能，更在于激发团队成员的潜能、给予他们信任和提供清晰的远景。	Leadership is not merely about management skills but about inspiring the potential of team members, giving them trust, and providing a clear vision.	merely, inspiring, vision
自动化和人工智能正在摧毁一些重复性的工作岗位，但同时也以前所未有的方式创造了新的职业机会。	Automation and artificial intelligence are destroying some repetitive jobs while simultaneously creating new career opportunities in ways never seen before.	repetitive, simultaneously, opportunities
技能错配是当前劳动力市场中一个突出的问题，企业找不到合格的人，求职者找不到合适的工作。	Skill mismatch is a prominent issue in the current labour market, where companies cannot find qualified candidates and job seekers cannot find suitable positions.	mismatch, prominent, candidates
就业市场的竞争日益激烈，掌握跨学科技能和终身学习的意愿已成为求职者的核心优势。	The job market has become increasingly competitive, and possessing interdisciplinary skills and a willingness to engage in lifelong learning have become core advantages for job seekers.	competitive, interdisciplinary, willingness
公平的薪酬体系对于保持员工积极性和防止人才流失至关重要，透明公正的考核机制是其基础。	An equitable compensation system is vital for maintaining employee motivation and preventing talent drain, based on a transparent and fair evaluation mechanism.	equitable, motivation, transparent
创业往往意味着承担巨大的风险和不确定性，但也为个人带来了自主性和潜在的更高经济回报。	Entrepreneurship often entails taking on enormous risks and uncertainties but also brings personal autonomy and the potential for higher financial rewards.	entails, autonomy, potential
外派工作为员工提供了国外生活和文化沉浸的机会，但随之而来的思乡和适应挑战也不可忽视。	Expatriate assignments offer employees the opportunity to live abroad and immerse themselves in a different culture, but the accompanying challenges of homesickness and adaptation should not be overlooked.	Expatriate, immerse, accompanying
面对技术快速变革的时代，政府和企业应合作提供再培训项目，帮助被技术取代的工人转型。	In an era of rapid technological change, governments and enterprises should collaborate to provide retraining programmes to help workers displaced by technology make the transition.	collaborate, displaced, transition
职业倦怠是由长期工作压力引起的综合症，表现为极度疲惫、对工作的愤世嫉俗和职业效能感下降。	Occupational burnout is a syndrome caused by chronic workplace stress, characterised by extreme exhaustion, cynicism towards one's job, and reduced professional efficacy.	Occupational, syndrome, cynicism
白领犯罪虽然不如街头犯罪直观，但造成的经济损失和社会信任损害往往更为巨大。	White-collar crime may be less visible than street crime, but the economic losses and damage to social trust it causes are often far greater.	visible, damage
在面试过程中，雇主不仅评估求职者的硬技能，也在评估其文化契合度和软技能，如沟通和团队合作。	During the interview process, employers assess not only the hard skills of candidates but also their cultural fit and soft skills such as communication and teamwork.	assess, cultural, soft
弹性工作制度已被证实可以提高员工的工作满意度，但同时也模糊了工作与家庭生活之间的界限。	Flexible working arrangements have been shown to increase employee job satisfaction but simultaneously blur the boundary between work and home life.	arrangements, simultaneously, boundary
退休规划是职业生涯中容易被忽视但至关重要的一环，越早开始储蓄和投资，退休后的经济压力就越小。	Retirement planning is an easily overlooked yet crucial part of one's career, and the earlier one starts saving and investing, the less financial strain one will face after retirement.	overlooked, crucial, strain
组织的多样化管理不仅有利于企业的公众形象，更能够带来创新的思维和更广泛的市场理解。	Diversity management in organisations is not only beneficial for a company's public image but also brings innovative thinking and a broader understanding of the market.	Diversity, beneficial, broader
同事之间积极的合作文化和彼此关怀可以显著降低工作场所的心理压力和员工流失率。	A positive culture of cooperation and mutual care among colleagues can significantly reduce psychological stress and employee turnover in the workplace.	mutual, psychological, turnover
工会是维护工人权益和争取更好工作条件的重要组织，但在某些国家其影响力正在逐渐下降。	Labour unions are important organisations that defend the rights of workers and fight for better working conditions, though their influence is gradually declining in some countries.	Labour, defend, declining
人工智能在人力资源筛选简历初选阶段的广泛应用提高了效率，但算法中隐含的偏见也引发了伦理关切。	The widespread use of artificial intelligence in the initial screening of resumes by human resources has improved efficiency, but the implicit bias in algorithms has also raised ethical concerns.	initial, screening, implicit
持续专业发展是许多行业从业者必须面对的终身任务，尤其是在医学、法律和教育领域。	Continuous professional development is a lifelong obligation that practitioners in many industries must face, particularly in the fields of medicine, law, and education.	Continuous, obligation, practitioners
副业和自由职业的收入有助于在充满不确定性的经济环境中提供额外的财务安全垫。	Income from side hustles and freelance work helps provide an additional financial safety cushion in an uncertain economic environment.	side hustles, cushion, uncertain
非正式经济在许多发展中国家的就业市场中占据重大比重，但从业者普遍缺乏社会保障和劳动权益。	The informal economy accounts for a substantial share of the job market in many developing countries, yet workers generally lack social security and labour rights.	informal, substantial, generally
职业健康和安全标准对于保护工人的生命和健康至关重要，尤其是在建筑、采矿和化学工业等高危行业。	Occupational health and safety standards are crucial for protecting the lives and health of workers, particularly in high-risk industries such as construction, mining, and chemical manufacturing.	Occupational, crucial, high-risk
在大辞职潮现象中，许多员工重新审视了自己的工作与生活关系，毅然离开不满意的工作。	Amid the phenomenon of the Great Resignation, many employees re-evaluated their relationship with work and life, resolutely leaving unsatisfying jobs.	phenomenon, re-evaluated, resolutely
职业流动性的增强是后现代社会的一个特征，一辈人服务于一家公司的传统模式已成稀有的例外。	Increased career mobility is a hallmark of postmodern society, with the traditional model of a lifetime service to a single company having become a rare exception.	mobility, hallmark, exception
竞业禁止条款旨在保护企业的商业机密，但如果过于宽泛，可能不合理地限制员工的职业自由。	Non-compete clauses are designed to protect the trade secrets of a business, but if overly broad they may unreasonably restrict the career freedom of employees.	clauses, trade, unreasonably
