# 中文意思	英文完整句子	填空词，最多3个
新陈代谢是指身体内发生的所有维持生命的化学反应，包括分解和合成过程。	Metabolism refers to all the life-sustaining chemical reactions that occur within the body, including both breakdown and synthesis processes.	refers, chemical, synthesis
基础代谢率占大多数人每日总能量消耗的60%至75%，主要受肌肉量和年龄影响。	Basal metabolic rate accounts for sixty to seventy-five per cent of most people's total daily energy expenditure, influenced primarily by muscle mass and age.	accounts, expenditure, primarily
胰岛素抵抗是代谢综合征的一个关键特征，会增加患2型糖尿病和心血管疾病的风险。	Insulin resistance is a defining feature of metabolic syndrome, substantially increasing the risk of developing type 2 diabetes and cardiovascular disease.	defining, substantially, cardiovascular
甲状腺激素在调节代谢率方面起着至关重要的作用，影响人体消耗能量的速度。	Thyroid hormones play a crucial role in regulating metabolic rate, influencing how quickly the body burns through energy reserves.	crucial, regulating, reserves
定期运动可以通过增加肌肉质量和改善线粒体功能来显著提高代谢效率。	Regular physical exercise can significantly boost metabolic efficiency by increasing muscle mass and improving mitochondrial function throughout the body.	significantly, boost, mitochondrial
高添加糖摄入量与代谢紊乱密切相关，包括脂肪肝、胰岛素抵抗和慢性炎症。	High intake of added sugars is strongly linked to metabolic disorders, including fatty liver disease, insulin resistance, and chronic inflammation.	intake, linked, chronic
间歇性禁食因其潜在的代谢益处而受到关注，包括改善胰岛素敏感性和细胞修复过程。	Intermittent fasting has gained attention for its potential metabolic benefits, including improved insulin sensitivity and enhanced cellular repair processes.	gained, sensitivity, enhanced
蛋白质具有比碳水化合物或脂肪更高的食物热效应，意味着消化蛋白质会消耗更多能量。	Protein has a higher thermic effect than carbohydrates or fats, meaning that the body expends more energy to digest and process it.	thermic, expends, process
睡眠不足会破坏代谢激素的平衡，导致饥饿素（刺激食欲）增加和瘦素（抑制食欲）减少。	Sleep deprivation disrupts the balance of metabolic hormones, leading to elevated ghrelin levels that stimulate appetite and reduced leptin levels that suppress it.	deprivation, elevated, suppress
慢性压力会触发皮质醇的释放，这种激素会促进脂肪储存，尤其是在腹部区域。	Chronic stress triggers the release of cortisol, a hormone that promotes fat storage particularly around the abdominal area and hinders metabolic function.	triggers, promotes, hinders
有氧运动和力量训练的结合被认为是优化长期代谢健康的最有效策略。	The combination of aerobic exercise and resistance training is widely regarded as the most effective strategy for optimising long-term metabolic health.	aerobic, regarded, optimising
代谢灵活性是指身体根据燃料可用性在燃烧碳水化合物和脂肪之间高效切换的能力。	Metabolic flexibility refers to the body's ability to efficiently switch between burning carbohydrates and fats depending on fuel availability.	flexibility, switch, fuel
多酚是在水果、蔬菜和茶中发现的一类化合物，已被证明能积极影响代谢途径并减少氧化应激。	Polyphenols, a category of compounds found in fruits, vegetables, and tea, have been shown to positively influence metabolic pathways and reduce oxidative stress.	compounds, influence, oxidative
保持血糖水平稳定对于维持全天能量、减少食欲和防止胰岛素过量分泌至关重要。	Maintaining stable blood sugar levels is essential for sustaining energy throughout the day, reducing cravings, and preventing excessive insulin secretion.	staple, sustaining, secretion
内脏脂肪——储存在腹腔器官周围的脂肪——在代谢上更为活跃，比皮下脂肪带来更大的健康风险。	Visceral fat, which is stored around the organs in the abdominal cavity, is more metabolically active and poses greater health risks than subcutaneous fat.	Visceral, poses, subcutaneous
衰老自然伴随着代谢率下降，但持续的身体活动和适当的营养可以显著减缓这种下降。	Ageing is naturally accompanied by a decline in metabolic rate, but consistent physical activity and proper nutrition can significantly slow this decline.	accompanied, consistent, decline
脂肪酸的氧化过程为低强度活动提供持续能量，而碳水化合物则为高强度活动提供能量。	The oxidation of fatty acids provides sustained energy during low-intensity activities, while carbohydrates fuel higher-intensity efforts through glycolysis.	oxidation, sustained, fuel
某些香料如辣椒中的辣椒素已显示能通过产热作用暂时将代谢率提高多达8%。	Capsaicin, found in chilli peppers, has been shown to temporarily boost metabolic rate by up to eight per cent through a process known as thermogenesis.	temporarily, boost, thermogenesis
肠道微生物组在代谢健康中发挥着越来越被认可的作用，影响营养吸收、能量调节和炎症。	The gut microbiome plays an increasingly recognised role in metabolic health, influencing nutrient absorption, energy regulation, and systemic inflammation.	microbiome, recognised, regulation
脱水即使轻微也会使代谢过程减缓，因为水是体内几乎每一个生化反应所必需的。	Dehydration, even when mild, can slow metabolic processes because water is required for virtually every biochemical reaction that takes place in the body.	mild, required, virtually
多囊卵巢综合征是一种常见的代谢和内分泌疾病，影响着全球10%至15%的育龄女性。	Polycystic ovary syndrome is a common metabolic and endocrine disorder affecting an estimated ten to fifteen per cent of women of reproductive age worldwide.	endocrine, disorder, reproductive
一些研究表明，在高强度运动后代谢率可保持升高达24小时，这一现象称为后燃效应。	Research suggests that metabolic rate can remain elevated for up to twenty-four hours after high-intensity exercise, a phenomenon known as the afterburn effect.	elevated, phenomenon, afterburn
富含全食物、纤维和瘦肉蛋白的饮食模式始终与更好的代谢健康结果相关联。	Dietary patterns rich in whole foods, dietary fibre, and lean protein have been consistently associated with better metabolic health outcomes across diverse populations.	patterns, consistently, diverse
昼夜节律的紊乱——由轮班工作或时差引起——可能会深刻扰乱代谢过程并增加代谢疾病风险。	Disruption of the circadian rhythm, whether caused by shift work or jet lag, can profoundly disturb metabolic processes and increase the risk of metabolic disorders.	Disruption, profoundly, disorders
线粒体——通常被称为细胞的能量工厂——随着年龄增长而衰退，但其健康可通过运动和营养来维持。	Mitochondria, often described as the powerhouses of cells, deteriorate with age, but their health can be preserved through regular exercise and targeted nutritional strategies.	described, deteriorate, preserved
