# 中文意思	英文完整句子	填空词，最多3个
家庭是社会最基本的单位，承担着情感支持、代际传承和社会化的核心功能。	The family is the most fundamental unit of society, undertaking the core functions of emotional support, intergenerational transmission, and socialisation.	fundamental, transmission, socialisation
代际之间的冲突常常源于价值观、生活经历和接受信息的渠道不同，但在充满爱的家庭中总可以找到弥合分歧的桥梁。	Intergenerational conflicts often stem from differences in values, life experiences, and channels of information, but a bridging of differences can always be found in a loving family.	Intergenerational, stem, values
父母的教育方式在很大程度上塑造了子女性格的底层逻辑，从安全感到自信再到对世界的信任。	Parenting styles largely shape the underlying logic of a child's character, ranging from their sense of security and self-confidence to their trust in the world.	Parenting, underlying, trust
在双职工家庭中，家务和育儿责任的公平分担是影响婚姻质量和个人幸福感的重要因素。	In dual-income households, the equitable sharing of domestic chores and childcare responsibilities is an important factor affecting the quality of the marriage and individual well-being.	dual-income, equitable, chores
单亲家庭面临的经济压力和情感挑战通常大于双亲家庭，但来自社区的强大支持网络可以有效减轻这些负担。	Single-parent families typically face greater financial pressure and emotional challenges than two-parent families, but a strong support network from the community can effectively alleviate these burdens.	Single-parent, alleviate, burdens
夫妻之间长期有效的沟通是维系婚姻健康的纽带，沉默和回避只会让小小的裂痕演变为无法弥合的鸿沟。	Long-term effective communication between spouses is the bond that sustains marital health, while silence and avoidance merely allow small cracks to evolve into unbridgeable gulfs.	sustains, avoidance, cracks
中国式的家庭孝道传统不仅要求子女赡养年老的双亲，更包含着敬重长辈、光耀门庭的深层情感含义。	The traditional Chinese filial piety not only requires children to support their ageing parents but also embodies the deep emotional meanings of respecting elders and bringing honour to the family.	filial, embodying, honour
核心家庭的规模在世界范围内呈缩小的趋势，丁克家庭和一人户的比例在很多大城市持续上升。	The size of the nuclear family is shrinking worldwide, with the proportion of childless couples and one-person households continuously rising in many large cities.	nuclear, proportion, continuously
夫妻间财务的透明和共同目标的一致性，是预防因金钱问题导致婚姻破裂的有效方式。	Financial transparency between spouses and alignment on shared goals are effective ways of preventing the breakdown of marriage due to money issues.	transparency, alignment, breakdown
隔代抚养在很多社会中普遍存在，祖父母在抚养孙辈方面发挥着重要的辅助甚至主要作用。	Grandparental care is widely prevalent in many societies, with grandparents playing an important auxiliary or even primary role in raising grandchildren.	prevalent, auxiliary, primary
远程办公模糊了工作与家庭生活之间的边界，既给了父母更多陪伴孩子的时间，也可能让人陷入随时待命的疲惫。	Remote work has blurred the boundary between work and family life, giving parents more time with their children but also potentially trapping people in the exhaustion of being on constant standby.	blurred, boundary, standby
婚姻破裂对儿童的冲击程度在很大程度上取决于父母离婚后能否继续以成熟、非对抗性的方式共同履行育儿职责。	The degree of impact of marital breakdown on children depends heavily on whether the parents can continue to jointly fulfil their parenting responsibilities in a mature and non-confrontational manner after divorce.	marital, jointly, mature
居住安排的改变反映了当代家庭的深刻变迁，与父母同堂的大家庭正在让位于更多的独居老人。	The transformation of living arrangements reflects the profound changes in the contemporary family, with extended households of multiple generations giving way to an increasing number of elderly people living alone.	profound, extended, giving way
育儿观念的冲突不仅仅发生在家庭内部，也反映在育儿论坛和社交媒体上不同流派之间的激烈辩论。	Parenting philosophy clashes occur not only within the family but are also reflected in the fierce debates between different schools of thought on parenting forums and social media.	clashes, fierce, schools
家庭暴力是深藏在紧闭家门后的顽疾，打破沉默、寻求外界帮助是受害者走出困境的第一步。	Domestic violence is a stubborn affliction hidden behind closed doors, and breaking the silence and seeking outside help is the first step for victims to escape the predicament.	stubborn, affliction, predicament
宠物在越来越多的现代家庭中扮演着情感伴侣的角色，在一定意义上成为了家庭非人类的核心成员。	Pets are playing the role of emotional companions in a growing number of modern families, becoming in a sense non-human core members of the household.	companions, core, household
在住房成本高昂的城市，年轻人推迟结婚和生育的趋势已十分明显，经济压力成为头号抑制因素。	In cities with exorbitant housing costs, the trend of young people postponing marriage and childbirth is very conspicuous, with economic pressure being the number-one deterring factor.	exorbitant, conspicuous, deterring
中国的家庭结构传统上以宗族脉络为纽带，这种以血缘地缘为基底的集体归属感至今仍然在乡村社会中具有强大影响。	Chinese family structure has traditionally been woven around the threads of lineage and clan, and this collective sense of belonging grounded in blood and geography still exerts a powerful influence in rural society today.	lineage, collective, exerts
继亲家庭中的关系调适充满挑战，但大量研究也表明，形成新的家庭纽带同样能够带来深厚的亲密和情感回报。	Relationship adjustment in stepfamilies is fraught with challenges, but a wealth of research also indicates that forming new family bonds can bring profound intimacy and emotional rewards.	stepfamilies, fraught, intimacy
婚姻的时间差和成长的不同步，可能导致曾经契合的夫妻在经过多年各自轨迹后发现彼此已经渐行渐远。	Differing timelines of marriage and the asynchronous growth of individuals may lead couples who were once compatible to find, after years of separate trajectories, that they have gradually drifted apart.	asynchronous, compatible, trajectories
在许多国家日益普遍的异地家庭中，经济跨国流动的代价是亲情上的长期分离和情感联结的脆弱化。	In the increasingly common transnational families in many countries, the price of cross-border economic mobility is the prolonged physical separation of loved ones and the fragility of emotional bonds.	transnational, mobility, fragility
童年时期稳定的亲子依恋关系，是个人终身情绪调节能力和健全人际信任感的根本基础。	A stable parent-child attachment in childhood is the fundamental foundation for an individual's lifelong capacity for emotional regulation and sound interpersonal trust.	attachment, fundamental, regulation
家庭暴力的代际传递是一个令人痛心的现象，在暴力环境中成长的孩子在未来更有可能重复这种模式。	The intergenerational transmission of domestic violence is a distressing phenomenon, and children who grow up in a violent environment are at a higher risk of repeating this pattern in the future.	transmission, distressing, pattern
婚姻咨询不应当被污名化，它是在婚姻出现深刻裂痕前寻求专业帮助的建设性行为。	Marriage counselling should not be stigmatised; it is a constructive act of seeking professional help before deep rifts appear in a marriage.	counselling, stigmatised, rifts
