# 中文意思	英文完整句子	填空词，最多3个
现代城市规划强调混合用途的开发模式，以减少居民对私家车的依赖并促进社区的活力。	Modern urban planning emphasises mixed-use development to reduce residents' reliance on private cars and promote community vibrancy.	emphasises, reliance, vibrancy
高层建筑在有限的土地上提供了更多的居住空间，但也带来了日照遮挡和城市通风等环境问题。	High-rise buildings provide more living space on limited land but also bring environmental concerns such as sunlight obstruction and reduced urban ventilation.	High-rise, obstruction, ventilation
公共交通系统如地铁和轻轨是缓解城市交通拥堵和降低碳排放的有效手段。	Public transport systems such as subways and light rail are effective measures for alleviating urban traffic congestion and reducing carbon emissions.	subways, alleviating, congestion
历史建筑的保护和再利用不仅能传承城市的文化记忆，还能通过文化旅游促进当地经济的发展。	The preservation and adaptive reuse of historic buildings can not only transmit the cultural memory of a city but also boost local economic development through cultural tourism.	preservation, adaptive, transmit
贫民窟的形成反映了快速城市化过程中住房供应不足和社会不平等加剧的问题。	The formation of slums reflects the problems of insufficient housing supply and worsening social inequality in the process of rapid urbanisation.	slums, insufficient, worsening
绿色建筑认证体系鼓励开发商采用节能节水设计和低碳材料，以降低建筑的终身环境影响。	Green building certification systems encourage developers to adopt energy-saving and water-conserving designs and low-carbon materials to reduce the lifetime environmental impact of buildings.	certification, adopt, lifetime
城市热岛效应使得市中心气温明显高于郊区，增加绿化覆盖率和使用反射性材料是常见的缓解策略。	The urban heat island effect makes city centres significantly warmer than suburbs, with increasing green coverage and using reflective materials being common mitigation strategies.	effect, significantly, mitigation
优秀的建筑设计应在功能实用、美学价值和结构安全之间达到和谐的平衡。	Excellent architectural design should achieve a harmonious balance between functional practicality, aesthetic value, and structural safety.	harmonious, practicality, aesthetic
贫民区的改造不应只是推倒重建，而应在保护社区网络的基础上逐步改善基础设施和服务。	Slum upgrading should not be merely about demolition and rebuilding but should gradually improve infrastructure and services while preserving existing community networks.	merely, demolition, preserving
摩天大楼的建造技术在过去一个世纪里实现了飞跃式的发展，从钢框架到阻尼器系统，使建筑能够达到前所未有的高度。	Skyscraper construction technology has advanced by leaps and bounds over the past century, from steel frames to damper systems, enabling buildings to reach unprecedented heights.	advanced, leaps, unprecedented
宜居城市的标准包括清洁的空气、安全的街道、便利的公共设施和丰富的绿色空间。	The criteria for a liveable city include clean air, safe streets, convenient public amenities, and abundant green spaces.	criteria, convenient, abundant
