# 中文意思	英文完整句子	填空词，最多3个
大众传媒在现代社会中扮演着信息传播、舆论引导和文化传承的多重角色。	Mass media plays multiple roles in modern society, including the dissemination of information, the shaping of public opinion, and the transmission of culture.	multiple, dissemination, transmission
社交媒体的算法推荐机制虽然提高了用户参与度，但也可能使用户陷入信息茧房。	The algorithmic recommendation mechanisms of social media, while enhancing user engagement, may also trap users in information cocoons.	algorithmic, engagement, cocoons
假新闻的传播速度往往快于真相，这使得媒体素养教育在现代社会中变得不可或缺。	Fake news often spreads faster than the truth, making media literacy education indispensable in contemporary society.	spreads, literacy, indispensable
调查性新闻在揭露腐败、问责权力和捍卫公众利益方面发挥着不可替代的作用。	Investigative journalism plays an irreplaceable role in exposing corruption, holding power to account, and defending the public interest.	Investigative, exposing, holding
数字传媒的兴起导致了传统纸媒的衰落，许多报纸被迫转向在线订阅模式以维持生存。	The rise of digital media has led to the decline of traditional print media, with many newspapers forced to shift to online subscription models to survive.	decline, subscription, survive
广播在电视出现之前是家庭娱乐和信息获取的主要媒介，至今在偏远地区和应急通信中仍不可替代。	Radio was the primary medium for household entertainment and information before the advent of television and remains irreplaceable today in remote areas and emergency communication.	primary, advent, emergency
娱乐产业和名人文化在传媒的推动下蓬勃发展，但也引导了部分年轻人对名利和外表过度追逐的价值观。	The entertainment industry and celebrity culture have flourished under the drive of mass media but have also steered some young people towards values overly fixated on fame and appearance.	flourished, steered, fixated
舆论可以通过新闻报道和社交媒体的集体发声来影响政府决策和公共政策的走向。	Public opinion can influence government decisions and the direction of public policy through news coverage and the collective voice on social media.	influence, collective, coverage
新闻的客观性是专业新闻机构的核心信条，但实际上报道永远不能完全摆脱记者的视角和选择。	Objectivity in news reporting is a core tenet of professional journalism, yet in practice reporting can never be entirely free from the journalist's perspective and selectivity.	Objectivity, tenet, perspective
用户生成内容的爆炸式增长模糊了专业传播者和普通受众之间的界限，每个人都成了一个自媒体。	The explosive growth of user-generated content has blurred the boundary between professional communicators and ordinary audiences, with everyone becoming a self-media outlet.	explosive, blurred, outlet
数据新闻通过可视化手段和交互式图表，将抽象复杂的数字转化为公众可以直观理解的叙事。	Data journalism transforms abstract and complex numbers into narratives that the public can intuitively grasp through visualisation tools and interactive charts.	abstract, narratives, intuitively
互联网使人们能够即时获取来自世界各地的信息，但也加剧了信息过载和注意力碎片化的问题。	The internet enables people to instantly access information from across the globe but has also exacerbated the problems of information overload and attention fragmentation.	instantly, exacerbated, fragmentation
成功的广告能够精准地洞察消费者的心理需求，将产品和情感价值巧妙地结合起来。	Successful advertising can accurately perceive the psychological needs of consumers, skilfully combining products with emotional value.	accurately, perceive, emotional
