# 中文意思	英文完整句子	填空词，最多3个
定期参与体育运动对心血管健康、体重管理和情绪调节都有显著且广泛的益处。	Regular participation in sports has significant and wide-ranging benefits for cardiovascular health, weight management, and emotional regulation.	participation, cardiovascular, regulation
奥林匹克运动会不仅是全球最高水平的体育竞技平台，也是展示各国文化和促进国际友谊的重要窗口。	The Olympic Games serve not only as the highest-level global platform for athletic competition but also as an important window for showcasing national cultures and promoting international friendship.	platform, athletic, showcasing
职业体育的商业化程度在过去几十年里急剧攀升，顶级运动员的薪水和赞助收入达到了天文数字。	The commercialisation of professional sports has escalated dramatically over the past few decades, with the salaries and sponsorship incomes of top athletes reaching astronomical figures.	commercialisation, escalated, astronomical
团队运动如足球和篮球培养了个人的集体主义精神，让参与者深刻体会到合作、信任与牺牲的价值。	Team sports such as football and basketball cultivate a collectivist spirit in individuals, allowing participants to deeply appreciate the values of cooperation, trust, and sacrifice.	collectivist, cooperation, sacrifice
运动损伤的预防和康复是一门精密科学，从准备活动到运动后的拉伸，每一个细节都可能决定运动员职业生涯的长效。	The prevention and rehabilitation of sports injuries is a precise science, and every detail from warm-ups to post-exercise stretching can determine the longevity of an athlete's career.	rehabilitation, precise, longevity
兴奋剂丑闻严重损害了竞技体育的公信力，反兴奋剂之战在生物技术日益发达的今天变得更为艰难。	Doping scandals have severely undermined the credibility of competitive sports, and the fight against doping has become even more arduous in an era of increasingly advanced biotechnology.	Doping, credibility, arduous
大众健身的普及是国家公共卫生体系的有力补充，可以减少非传染性慢性病的发病率和社会医疗支出。	The popularisation of mass fitness is a powerful supplement to the national public health system, reducing the incidence of non-communicable chronic diseases and social healthcare expenditure.	popularisation, supplement, expenditure
冒险运动如攀岩和跳伞让人们在大自然中挑战了自身的身心极限，获得了一种特殊的成就感和存在感。	Adventure sports such as rock climbing and skydiving allow people to challenge their physical and mental limits in nature, gaining a unique sense of achievement and being.	Adventure, limits, unique
体育赛事的主办城市希望借此提升国际形象和城市基础设施，但也可能面对赛后场馆大量闲置和白象工程的困境。	Host cities of sports events hope to enhance their international image and urban infrastructure through such occasions, but they may also face the dilemma of massive post-event venue idleness and white-elephant projects.	Host, idleness, white-elephant
足球之所以成为世界第一运动，与其简单易懂的规则、对装备的极低要求和充满戏剧性的比赛过程密不可分。	Football has become the world's most popular sport because of its easily comprehensible rules, minimal equipment requirements, and the dramatic nature of its matches.	comprehensible, minimal, dramatic
