# 中文意思	英文完整句子	填空词，最多3个
民主制度的核心在于公民有权通过自由公正的选举选择自己的代表并对权力进行监督。	The core of a democratic system lies in the rights of citizens to choose their representatives through free and fair elections and to hold power to account.	core, representatives, account
政府应当通过透明的决策过程和有效的公共服务来赢取公民的信任和合法性。	The government should earn the trust and legitimacy of its citizens through transparent decision-making processes and the effective delivery of public services.	transparent, legitimacy, delivery
法治要求任何人包括政府官员在内都平等地受法律的约束，不得凌驾于法律之上。	The rule of law requires that everyone, including government officials, be equally bound by the law and that no one be placed above it.	bound, equally, above
权力分立是防止权力滥用和专制的重要宪制机制，通过行政、立法和司法的独立及相互制衡来实现。	The separation of powers is an important constitutional mechanism for preventing the abuse of power and autocracy, achieved through the independence and mutual checks and balances of the executive, legislative, and judicial branches.	constitutional, abuse, mutual
政治参与不应仅在选举日，公民社会中的非政府组织和社区团体在表达民众诉求方面也发挥着关键作用。	Political participation should not be confined to election day alone; NGOs and community groups in civil society also play a crucial role in voicing the concerns of the public.	confined, civil, voicing
腐败侵蚀了公众对政府的信任，阻碍了经济发展，并让社会中最脆弱的群体承受最大的代价。	Corruption erodes public trust in government, hinders economic development, and forces the most vulnerable groups in society to bear the greatest cost.	erodes, hinders, vulnerable
一个良好的税收制度应公平地分配负担，并足以在不过度举债的情况下为必需的公共服务提供资金。	A sound taxation system should distribute the burden equitably and be sufficient to fund essential public services without resorting to excessive borrowing.	equitably, sufficient, resorting
环境保护需要政府的积极干预，因为单靠市场这只无形的手无法解决污染外溢这样典型的外部性问题。	Environmental protection requires active government intervention, because the invisible hand of the market alone cannot solve the typical externality problem of pollution spillovers.	intervention, invisible, externality
外交政策是国家主权的延伸，旨在通过谈判、联盟或经济手段维护国家利益和促进世界和平。	Foreign policy is an extension of national sovereignty, aiming to safeguard national interests and promote world peace through negotiations, alliances, or economic means.	sovereignty, safeguard, alliances
福利国家通过社会保障和公共医疗等制度，在保护公民免受生命中的经济风险方面扮演着不可或缺的角色。	The welfare state plays an indispensable role in protecting citizens from the economic risks of life through systems such as social security and public healthcare.	welfare, indispensable, systems
宪法是国家的根本大法，规定了政府的基本架构、公民的基本权利以及权力的运行和更迭规则。	The constitution is the fundamental law of a nation, stipulating the basic structure of the government, the fundamental rights of citizens, and the rules for the operation and succession of power.	constitution, stipulating, succession
社会运动的兴起往往表明既有的政治渠道已不能满足部分民众表达诉求的需要。	The rise of social movements often indicates that the existing political channels can no longer meet the needs of certain segments of the population to express their demands.	indicates, channels, segments
权力下放有利于地方政府根据本地具体情况做出更贴近民众的决策，但也带来了地区发展不平衡等挑战。	Decentralisation helps local governments make decisions that are more attuned to the specific local circumstances and the needs of residents, but it also brings challenges such as regional developmental imbalances.	Decentralisation, attuned, imbalances
选举制度的设计对一个国家的政党体制和政府的稳定性有着深远的结构性影响。	The design of the electoral system has a profound structural influence on the party system and the stability of the government of a country.	electoral, structural, stability
政客为了赢得选票，往往会在竞选期间做出许多不切实际的承诺，而上任后却可能食言。	Politicians often make many unrealistic promises during election campaigns to win votes, yet they may renege on those promises once in office.	unrealistic, campaigns, renege
舆论监督是民主政治健康运转的必要条件，它要求媒体独立于政府和商业利益之外。	Public scrutiny is a necessary condition for the healthy functioning of democratic politics, requiring the media to be independent of both government and commercial interests.	scrutiny, condition, commercial
公民社会在弥合政府治理与基层需求之间的差距方面发挥着桥梁作用，是多元治理体系中不可或缺的一环。	Civil society acts as a bridge in bridging the gap between government governance and grassroots needs, serving as an indispensable link in a pluralistic governance system.	Civil, bridging, indispensable
寡头政治是一种少数人掌握国家统治权力的政治形态，这些人通常凭借财富、家族或军事力量取得统治地位。	Oligarchy is a political form in which ruling power is held by a small group of people, who typically attain dominance through wealth, family ties, or military strength.	Oligarchy, dominance, attain
良好的公共政策应建立在确凿的证据和严谨的分析之上，而不是仅仅基于意识形态或民意风向。	Sound public policy should be built upon solid evidence and rigorous analysis, rather than being based merely on ideology or the shifting winds of public opinion.	Sound, rigorous, merely
议会的主要功能是制定法律、审批预算和监督政府部门的行政活动。	The primary functions of a parliament are to enact legislation, approve the budget, and supervise the administrative activities of government departments.	parliament, enact, supervise
发展中国家的治理挑战往往并非完全源于缺乏资源，更致命的是制度不完善和执行力薄弱。	The governance challenges in developing countries often stem not entirely from a lack of resources but more fatally from institutional deficiencies and weak enforcement capacity.	stem, deficiencies, enforcement
政治冷感在青年群体中较为普遍，表现为对政治选举的投票率低和对传统政治组织的热情不高。	Political apathy is relatively common among the youth, manifested in low voter turnout in political elections and a lack of enthusiasm for traditional political organisations.	apathy, manifested, enthusiasm
