# 中文意思	英文完整句子	填空词，最多3个
全球化是一把双刃剑，它在促进经济增长和文化交流的同时，也加剧了不平等和文化同质化的风险。	Globalisation is a double-edged sword that promotes economic growth and cultural exchange while simultaneously exacerbating inequality and the risk of cultural homogenisation.	double-edged, simultaneously, homogenisation
跨国公司在全球范围内配置其生产和销售资源，以寻求最低的成本和最大的市场回报。	Multinational corporations allocate their production and distribution resources across the globe to seek the lowest cost and the greatest market returns.	allocate, distribution, seek
国际贸易的自由化在过去半个世纪使数亿人摆脱了赤贫，但也导致了一些发达国家蓝领工人的收入停滞。	The liberalisation of international trade has lifted hundreds of millions of people out of extreme poverty over the past half century but has also led to the income stagnation of blue-collar workers in some developed countries.	liberalisation, poverty, stagnation
反全球化情绪的高涨反映了部分民众对工作流失、国家主权被侵蚀和文化变迁的深切焦虑。	The rising tide of anti-globalisation sentiment reflects the deep anxiety of some segments of the population over job losses, the erosion of national sovereignty, and cultural change.	tide, sentiment, sovereignty
全球供应链的紧密交织意味着一个地区的停产可以迅速在世界另一端引发生产和销售的连锁坍塌。	The close-knit integration of global supply chains means that a production halt in one region can rapidly trigger a chain collapse of manufacturing and sales at the other end of the world.	integration, trigger, collapse
文化在全球化进程中并非只是单向地美国化，各种文化的交融和再创造过程同样值得关注。	Culture is not merely being Americanised in a one-way process of globalisation, and the fusion and recreation of various cultures also deserves significant attention.	merely, fusion, recreation
移民和难民的全球流动既是全球化时代人道主义关怀的试金石，也在许多国家激起了日益强烈的本土主义反弹。	The global movement of migrants and refugees is both a touchstone for humanitarian concern in the age of globalisation and a trigger for the increasingly intense nativist backlash in many countries.	humanitarian, touchstone, backlash
多边贸易体制的权威性在单边主义上升的背景下正面临严峻的考验。	The authority of the multilateral trading system is facing a severe test against the backdrop of rising unilateralism.	multilateral, severe, unilateralism
全球公共卫生安全领域，一个国家内部的疫情可以迅即转变成一场全球性的共同危机。	In the realm of global public health security, an epidemic within a single nation can rapidly transform into a shared global crisis.	realm, epidemic, shared
国际旅游的大规模增长增进了不同国家人民之间的相互理解，但也导致了碳排放的上升和文化景点的过度商业化。	The massive growth of international tourism has enhanced mutual understanding among people from different nations but has also led to rising carbon emissions and the excessive commercialisation of cultural sites.	massive, mutual, sites
