# 中文意思	英文完整句子	填空词，最多3个
时尚产业是全球最大的经济部门之一，但其对环境和社会伦理的影响正受到越来越多的监督和批评。	The fashion industry is one of the largest economic sectors in the world, yet its environmental and social ethical impact is coming under increasing scrutiny and criticism.	sectors, ethical, scrutiny
快速时尚以其超低的成本和高速的上新周期刺激了消费者的过度购买欲望，但也导致了巨大的纺织品浪费。	Fast fashion stimulates consumer impulse buying with its ultra-low cost and rapid turnover cycles, but it also results in enormous textile waste.	stimulates, impulse, textile
服装的风格不仅仅是一个人审美的外在表露，在某种程度上也是其社会阶层、文化属性和政治立场的无声宣告。	A person's style of dress is not merely an external expression of their aesthetics but to some extent also a silent declaration of their social class, cultural affiliation, and political stance.	merely, expression, declaration
时尚潮流的演变常常是经济、政治和文化等多种宏观力量在微观衣橱上的投影。	The evolution of fashion trends is often a projection of multiple macro forces such as economics, politics, and culture onto the microcosm of the wardrobe.	macro, projection, microcosm
奢侈品牌通过精心讲述的品牌传承故事和限量的策略来营造一种排他性和渴望。	Luxury brands cultivate a sense of exclusivity and desirability through carefully narrated brand heritage stories and limited-availability strategies.	Luxury, exclusivity, narrated
传统手工艺纺织品的复兴为农村妇女提供了宝贵的收入来源，同时也有助于保护濒临失传的传统技艺。	The revival of traditional handcrafted textiles provides a precious source of income for rural women while also helping to preserve traditional skills that are on the brink of extinction.	revival, rural, brink
时装周已不再是仅限于行业内部的纯粹交易活动，而是演变成了融合社交媒体和大众娱乐的全球文化现象。	Fashion weeks are no longer purely trade events confined to the industry but have evolved into global cultural phenomena that integrate social media and mass entertainment.	confined, evolved, phenomena
在个人衣橱中投资经典永不过时的单品的理念，正在逐渐取代盲目追逐瞬息万变的季度流行趋势。	The philosophy of investing in timeless classic pieces in one's wardrobe is gradually replacing the blind pursuit of fickle seasonal trends.	timeless, classic, fickle
化妆和护肤产业在社交媒体美妆博主的强势带动下，已培育了一个价值数千亿美元的庞大市场。	The cosmetics and skincare industry, powerfully driven by beauty influencers on social media, has cultivated an enormous market valued at hundreds of billions of dollars.	cosmetics, influencers, cultivated
新一代消费者越来越强调品牌的社会责任感，这迫使时尚品牌改善供应链的透明度和劳工条件。	A new generation of consumers increasingly emphasises the social responsibility of brands, forcing fashion brands to improve supply chain transparency and labour conditions.	emphasises, transparency, labour
文化挪用是指在时尚中一个文化群体未经许可就使用另一文化群体的传统符号和服装，常引起广泛争议。	Cultural appropriation refers to the use of traditional symbols and garments of one cultural group by another without permission in the fashion world, often sparking widespread controversy.	appropriation, symbols, sparking
