# 中文意思	英文完整句子	填空词，最多3个
社会福利体系旨在为公民提供基本的经济保障和医疗保健服务。	Social welfare systems are designed to provide citizens with basic economic security and healthcare services.	welfare, designed, security
北欧国家以其全面的福利国家模式而闻名，该模式提供全民医疗和教育。	Nordic countries are renowned for their comprehensive welfare state model, which provides universal healthcare and education.	comprehensive, universal, provides
失业保险为失业工人在寻找新工作的过渡期间提供临时的财务支持。	Unemployment benefits provide temporary financial support for workers during the transition period while they seek new employment.	temporary, transition, employment
社会保障养老金对于防止老年贫困和确保退休人员维持体面生活水平至关重要。	Social security pensions are essential for preventing old-age poverty and ensuring that retirees can maintain a decent standard of living.	essential, preventing, decent
有条件的现金转移支付计划激励低收入家庭送孩子上学并定期进行健康检查。	Conditional cash transfer programmes incentivise low-income families to send their children to school and attend regular health check-ups.	Conditional, incentivise, attend
全民基本收入是一种激进的社会福利方案，主张向所有公民提供定期的无条件现金支付。	Universal basic income is a radical welfare proposal that advocates providing all citizens with regular unconditional cash payments.	radical, advocates, unconditional
许多发展中国家的社会保障体系覆盖率不足，使非正规部门的工人容易陷入经济困境。	Social protection systems in many developing countries have inadequate coverage, leaving informal sector workers vulnerable to economic hardship.	inadequate, informal, vulnerable
经济状况审查式福利根据个人的收入和资产水平来确定其获得政府援助的资格。	Means-tested benefits determine an individual's eligibility for government assistance based on their income and asset levels.	determine, eligibility, asset
福利依赖是一个有争议的概念，批评者认为慷慨的福利可能会削弱人们寻找有酬工作的动力。	Welfare dependency is a contentious concept, with critics arguing that generous benefits may reduce the incentive to seek paid employment.	contentious, incentive, employment
人口老龄化给养老金体系带来了巨大的财政压力，因为领取者与缴费者的比例在不断恶化。	Ageing populations place enormous fiscal strain on pension systems, as the ratio of beneficiaries to contributors continues to deteriorate.	enormous, fiscal, deteriorate
住房补贴是确保低收入家庭能够获得体面住房而不至于无家可归的一项关键政策工具。	Housing subsidies are a crucial policy instrument for ensuring low-income households can access decent accommodation without becoming homeless.	subsidies, instrument, accommodation
累进税制是社会民主主义福利模式的基石，该模式通过对高收入者征收更高税率来为福利国家提供资金。	Progressive taxation is the cornerstone of the social democratic welfare model, funding the welfare state through higher tax rates on higher earners.	cornerstone, democratic, funding
带薪育儿假政策已显示出对儿童发展成果和母亲劳动力参与率的积极影响。	Paid parental leave policies have demonstrated positive effects on child development outcomes and maternal workforce participation rates.	demonstrated, maternal, participation
慈善组织作为非盈利部门的重要组成，在政府提供的福利之外补充私人救助，特别是在危机紧急时期。	Charitable organisations serve as a vital component of the non-profit sector, supplementing government welfare with private assistance, particularly during emergency crises.	vital, supplementing, crises
食品券或类似计划的目的是在减轻粮食不安全问题的同时，支持受益家庭的饮食健康。	Food stamp or voucher programmes aim to alleviate food insecurity while supporting dietary health among recipient households.	voucher, alleviate, dietary
社会工作者在福利体系的运转中扮演着核心角色，他们评估需求、协调服务并为脆弱群体代言倡导。	Social workers play a central role in welfare delivery, assessing needs, coordinating services, and advocating on behalf of vulnerable populations.	assessing, coordinating, advocating
资产测试的复杂性和发放福利中的行政负担可能让许多符合条件的人放弃申请。	The complexity of asset testing and the administrative burden of benefit delivery can discourage many eligible individuals from applying.	complexity, administrative, eligible
福利国家的金三角由三个关键支柱构成：公共养老金保障、全民健康覆盖和定向社会救助。	The golden triangle of welfare states consists of three critical pillars: public pension guarantees, universal health coverage, and targeted social assistance.	consists, critical, targeted
代际公平问题，即年轻人是否在为一个他们未来可能无法享受到的福利体系付出过高成本，正在年轻人群体中引发了激烈讨论。	Intergenerational equity concerns, namely whether younger generations are overpaying for a welfare system they may never benefit from, have generated intense debate among young adults.	equity, overpaying, generated
