# 中文意思	英文完整句子	填空词，最多3个
广袤的草原一直延伸到地平线，在夕阳下呈现出金色的光泽。	The vast grassland stretched all the way to the horizon, taking on a golden hue under the setting sun.	vast, horizon, hue
陡峭的悬崖俯瞰着汹涌的大海，海浪不断拍打着下方的岩石。	The steep cliff overlooked the turbulent sea, where waves constantly crashed against the rocks below.	steep, turbulent, crashed
山脉被一层厚厚的积雪覆盖，在阳光下闪闪发光。	The mountain range was blanketed by a thick layer of snow that glistened under the bright sunshine.	blanketed, glistened
一条清澈的小溪蜿蜒穿过茂密的森林，发出轻柔的水声。	A crystal-clear stream meandered through the dense forest, producing a gentle murmuring sound.	crystal-clear, meandered, murmuring
瀑布从高处倾泻而下，在水潭中激起朦胧的水雾。	The waterfall cascaded down from a great height, creating a misty spray in the pool below.	cascaded, misty, pool
火山喷发时，炽热的熔岩沿着山坡缓缓流下，摧毁了沿途的一切。	When the volcano erupted, scorching lava flowed slowly down the slope, destroying everything in its path.	erupted, scorching, slope
沙漠中的沙丘在风的作用下不断变化形状，形成波浪般的图案。	The sand dunes in the desert constantly shift their shape under the wind, forming wave-like patterns.	dunes, shift, patterns
北极地区的冰川正在以前所未有的速度融化，导致海平面上升。	Glaciers in the Arctic region are melting at an unprecedented rate, contributing to rising sea levels.	Glaciers, unprecedented, contributing
热带雨林拥有惊人的生物多样性，是无数物种的家园。	Tropical rainforests boast astonishing biodiversity and serve as home to countless species of flora and fauna.	boast, astonishing, flora
大峡谷的岩层记录了数百万年的地质历史，吸引着来自世界各地的游客。	The rock formations of the Grand Canyon record millions of years of geological history, attracting visitors from across the globe.	formations, geological, globe
珊瑚礁是海洋生态系统的重要组成部分，为大量海洋生物提供了栖息地。	Coral reefs are vital components of marine ecosystems, providing habitats for an abundance of marine life.	reefs, components, abundance
闪电划过夜空，紧接着是一声震耳欲聋的雷鸣。	Lightning streaked across the night sky, followed by a deafening clap of thunder.	streaked, deafening, thunder
春天的樱花把整个山谷染成了一片粉红色的海洋。	Cherry blossoms in spring transformed the entire valley into a sea of delicate pink.	blossoms, transformed, delicate
这条河流经三个国家，为该地区的农业提供了重要的灌溉水源。	The river flows through three countries and provides crucial irrigation for agriculture in the region.	flows, crucial, irrigation
海岸线上布满了被海浪冲刷得光滑的鹅卵石。	The coastline was dotted with pebbles that had been smoothed by the relentless erosion of waves.	dotted, pebbles, relentless
日出时分，天空呈现出绚丽的色彩，从深紫色过渡到金黄色。	At sunrise, the sky displayed a spectacular array of colours, transitioning from deep purple to golden yellow.	spectacular, array, transitioning
地震导致地面剧烈震动，建筑物在几秒钟内倒塌。	The earthquake caused the ground to tremble violently, with buildings collapsing within a matter of seconds.	tremble, collapsing, matter
高原的空气稀薄而清冷，天空蓝得近乎不真实。	The air on the plateau was thin and crisp, with a sky so blue it appeared almost surreal.	plateau, crisp, surreal
潮汐的涨落受月球引力的控制，形成了沿海生态系统的自然节律。	The rise and fall of the tides is governed by the gravitational pull of the moon, creating a natural rhythm for coastal ecosystems.	tides, governed, rhythm
湿润的雾气从湖面升起，在清晨的阳光下逐渐消散。	A moist mist rose from the surface of the lake, gradually dissipating in the early morning sunlight.	moist, gradually, dissipating
山脉的背风面降雨量极少，导致形成了半干旱的气候。	The leeward side of the mountain receives very little rainfall, resulting in a semi-arid climate.	leeward, resulting, semi-arid
在温带地区，四季分明，每个季节都有独特的景观特征。	In temperate regions, the four seasons are distinct, each bringing its own unique characteristics to the landscape.	temperate, distinct, characteristics
喀斯特地貌以石灰岩溶洞、地下河流和独特的岩石形态为特色。	Karst landscapes are characterised by limestone caves, underground rivers, and distinctive rock formations.	Karst, characterised, limestone
南极洲的巨大冰盖蕴藏着地球上约百分之七十的淡水资源。	The enormous ice sheets of Antarctica contain approximately seventy per cent of the planet's freshwater reserves.	enormous, approximately, reserves
森林中的树冠层为许多鸟类和昆虫提供了遮蔽所和食物来源。	The forest canopy provides shelter and food sources for a wide variety of birds and insects.	canopy, shelter, variety
台风带来了暴雨和强风，在沿海地区造成了严重的破坏。	The typhoon brought torrential rain and fierce winds, causing severe damage across coastal areas.	torrential, fierce, severe
这条蜿蜒的河流经过几个世纪的侵蚀，在岩石中切出了一条深深的峡谷。	The winding river has carved a deep gorge through the rock over centuries of relentless erosion.	winding, carved, gorge
在秋天，山坡上的树叶变成了鲜艳的红色、橙色和金色。	In autumn, the leaves on the hillside turn vibrant shades of red, orange, and gold.	vibrant, shades
热液喷口位于深海底部，支持着依赖化学合成而非光合作用的独特生态系统。	Hydrothermal vents on the deep ocean floor support unique ecosystems that rely on chemosynthesis rather than photosynthesis.	Hydrothermal, rely, chemosynthesis
北极光在夜空中舞动，形成绿色和紫色的闪烁光带。	The Northern Lights dance across the night sky, forming shimmering ribbons of green and purple.	shimmering, ribbons
肥沃的火山土壤使该地区成为理想的农业耕种区域。	The fertile volcanic soil makes this region ideal for agricultural cultivation.	fertile, ideal, cultivation
裸露的岩石表面被风和水侵蚀，形成了奇特的雕塑般的形状。	The bare rock surfaces have been eroded by wind and water into bizarre, sculptural shapes over millennia.	bare, eroded, bizarre
一条狭窄的小路沿着悬崖边缘蜿蜒而行，让人感到十分惊险。	A narrow trail zigzagged along the edge of the cliff, making the journey feel rather perilous.	narrow, zigzagged, perilous
绿洲为在沙漠中长途跋涉的旅人提供了珍贵的水源和阴凉。	The oasis provided precious water and shade for travellers undertaking long journeys across the desert.	oasis, precious, undertaking
辽阔的冰冻湖面在冬日阳光下像一面巨大的镜子般反光。	The vast frozen surface of the lake reflected light like a gigantic mirror in the winter sun.	vast, reflected, gigantic
