# 中文意思	英文完整句子	填空词，最多3个
美国宪法于1787年起草并于1789年批准，建立了具有三个独立分支的联邦政府：立法、行政和司法。	The United States Constitution, drafted in 1787 and ratified in 1789, established a federal government with three separate branches: legislative, executive, and judicial.	drafted, ratified, branches
权力分立确保没有任何一个政府部门能够主导其他部门，因为每个分支都有制衡其他分支权力的宪法工具。	The separation of powers ensures that no single branch of government can dominate the others, as each possesses constitutional tools to check and balance the powers of the other branches.	separation, dominate, possesses
选举人团是美国总统选举中使用的独特机制，各州根据其在国会中的代表人数分配选举人票。	The Electoral College is the distinctive mechanism used to elect the US president, with each state allocated electoral votes based on its representation in Congress.	distinctive, allocated, representation
美国国会实行两院制，由众议院和参议院组成，两院必须分别通过相同版本的法案才能提交总统签署成为法律。	The United States Congress is bicameral, consisting of the House of Representatives and the Senate, both of which must pass identical versions of a bill before it can be sent to the president for signature.	bicameral, consisting, identical
美国最高法院拥有司法审查权，即宣布立法或行政行为违宪而无效的权力。	The Supreme Court of the United States possesses the power of judicial review, the authority to declare legislative or executive actions unconstitutional and therefore void.	possesses, declare, void
权利法案由宪法前十修正案组成，保障了言论、宗教、新闻、集会和请愿自由等基本自由。	The Bill of Rights, comprising the first ten amendments to the Constitution, guarantees fundamental freedoms such as speech, religion, press, assembly, and petition.	comprising, guarantees, fundamental
联邦制在美国创造了一个双层政府体系，其中权力和主权在华盛顿特区的国家政府与五十个州政府之间进行宪法划分。	Federalism creates a dual system of government in the United States, where power and sovereignty are constitutionally divided between the national government in Washington DC and the fifty state governments.	dual, sovereignty, divided
初选制度允许各政党在普选前选择各自的候选人，其中封闭式初选仅限于注册党员参加，而开放式初选则允许任何选民参与。	The primary system allows political parties to select their respective candidates before the general election, with closed primaries restricted to registered party members and open primaries permitting any voter to participate.	respective, restricted, permitting
政治行动委员会和超级政治行动委员会在竞选融资中发挥关键作用，后者可以筹集和支出无限额的资金来支持或反对候选人，只要不直接与他们协调即可。	Political action committees and Super PACs play a pivotal role in campaign finance, with the latter able to raise and spend unlimited sums to support or oppose candidates as long as they do not directly coordinate with them.	pivotal, unlimited, coordinate
杰利蝾螈是指以赋予某一政党不公平优势为目的来划分选区边界的做法，这种做法在美国政治中仍然存在激烈争议。	Gerrymandering is the practice of drawing electoral district boundaries to give an unfair advantage to a particular political party, and it remains fiercely contested in American politics.	boundaries, advantage, fiercely
阻挠议事是参议院的一项规则，允许少数党通过延长辩论来无限期推迟立法，除非获得六十票才能终止辩论。	The filibuster is a Senate rule that allows the minority party to delay legislation indefinitely through extended debate, which can only be ended by a cloture vote requiring sixty senators.	indefinitely, extended, cloture
联邦法官包括最高法院大法官在内均由总统提名并经参议院确认，并获得终身任期，以使其免受政治压力。	Federal judges, including Supreme Court justices, are nominated by the president, confirmed by the Senate, and granted lifetime tenure to insulate them from political pressure.	nominated, confirmed, insulate
中期选举每两年在总统任期的中点举行，决定众议院全部席位和参议院三分之一席位的归属。	Midterm elections are held every two years at the midpoint of a presidential term, determining the composition of the entire House of Representatives and one-third of the Senate.	midpoint, composition, determining
行政命令允许总统在无需国会批准的情况下指导联邦政府的运作，但受制于司法审查，并且可以被继任总统撤销。	Executive orders allow the president to direct federal government operations without congressional approval, though they are subject to judicial review and can be revoked by a successor.	direct, approval, revoked
游说行业在美国政治中根深蒂固，利益集团雇佣前政府官员和专家来说服立法者和监管机构采纳有利于其客户的政策。	The lobbying industry is deeply entrenched in American politics, with interest groups hiring former government officials and specialists to persuade legislators and regulators to adopt policies favourable to their clients.	entrenched, persuade, favourable
美国政治体系以稳定的两党制为主导，民主党通常支持进步主义政策，而共和党通常倡导保守主义原则，这使得第三党很难获得选民支持。	The American political system is dominated by a stable two-party system, with the Democratic Party generally supporting progressive policies and the Republican Party typically advocating conservative principles, making it difficult for third parties to gain traction.	dominated, advocating, traction
联邦预算程序始于总统向国会提交预算提案，随后国会通过预算决议在各拨款委员会之间分配支出上限。	The federal budget process begins with the president submitting a budget proposal to Congress, after which Congress adopts a budget resolution allocating spending caps across various appropriations committees.	submitting, resolution, allocating
公民自由的保护在美国法律中并非绝对，法院运用不同程度的审查标准，在个人权利与政府必须具有的合法利益之间寻求平衡。	The protection of civil liberties in American law is not absolute; courts apply varying levels of scrutiny to balance individual rights against the government's legitimate and compelling interests.	absolute, scrutiny, legitimate
修宪程序被有意设计得困难重重，需要国会两院三分之二多数通过，然后由四分之三的州议会批准，自权利法案以来仅成功完成过十七次。	The constitutional amendment process was deliberately designed to be difficult, requiring supermajorities in both houses of Congress and ratification by three-quarters of state legislatures, with only seventeen successful amendments since the Bill of Rights.	deliberately, supermajorities, legislatures
美国卫生与公众服务部、国防部和财政部等内阁部门构成了联邦行政部门的重要组成部分，其部长由总统经参议院同意后任命，负责总统政策在各管辖领域的实施。	The cabinet departments, such as Health and Human Services, Defence, and the Treasury, constitute the major administrative units of the federal executive branch, with secretaries appointed by the president subject to Senate confirmation to execute presidential policies within their jurisdictions.	constitute, execute, jurisdictions
